id;institutionType;name;localization;website;email;phone;capacity;kidsEnrolled;basicPricePerMonth;extendedStayOver10H;basicPricePerHour;foodPricePerMonth;foodPricePerDay;discounts;openingHours;isAdaptedToDisabledChildren;operatingEntityName;operatingEntityAddress;operatingEntityNIP;operatingEntityREGON;operatingEntityRegNoPosition;operatingEntityWebsite;businessActivitySuspended;voivodeship;county;city;address;latitude;longitude
1803;Żłobek;"grupa żłobkowa przy 'Iskierka"" Przedszkole Niepubliczne";POMORSKIE > Powiat wejherowski > Rumia > Rumia, miasto ul.  Dokerów 5;iskierka.rumia.pl;iskierka@internetdsl.pl;586719334;25;12.0;800.0 zł;;;;16.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-17:00 ;NIE;",,ISKIERKA"" PRZEDSZKOLE NIEPUBLICZNE, BUDOWNICTWO, ARCHITEKTURA, NIERUCHOMOŚCI EWA GODŁOWSKA-FORNALCZYK";ul.  Dokerów 5 84-230 Rumia, Rumia, miasto;9580345162.0;220260475.0;18379/P;iskierka.rumia.pl;NIE;POMORSKIE ;Powiat wejherowski ;Rumia ;Rumia, miasto ul.  Dokerów 5;54.56054220000001;18.411606
1804;Żłobek;"Niepubliczny Żłobek ""Guziczek""";PODKARPACKIE > Powiat Krosno > Krosno > Krosno, miasto ul. Adama Mickiewicza 17a;www.zlobek-krosno.pl;kontakt@zlobek-guziczek.pl;662828983;20;15.0;900.0 zł;;;;14.5 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ;NIE;PG Piotr Guzik;;6842370516.0;181141970.0;15630/P;;NIE;PODKARPACKIE ;Powiat Krosno ;Krosno ;Krosno, miasto ul. Adama Mickiewicza 17a;49.6865673;21.7811282
1805;Klub dziecięcy;"Gminny Klub Dziecięcy ""Tygrysek""";ŚLĄSKIE > Powiat kłobucki > Popów > Zawady, wieś ul.  Szkolna 8;;klubdziececy@gmail.com;518025167;12;12.0;250.0 zł;;;;15.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-16:00 ;NIE;Gmina Popów;ul.  Częstochowska 6 42-110 POPÓW, Zawady, wieś;5742054608.0;151398362.0;18346/P;www.gminapopow.pl;NIE;ŚLĄSKIE ;Powiat kłobucki ;Popów ;Zawady, wieś ul.  Szkolna 8;51.0211154;18.9087808
1806;Klub dziecięcy;Zespół Klubów Dziecięcych Klub Dziecięcy Żłobkowe Krasnale II;PODKARPACKIE > Powiat strzyżowski > Strzyżów > Strzyżów, miasto ul.  Łukasiewicza 27;www.ekrasnale.pl;krasnale.podkarpacie@wp.pl;533155622;17;17.0;990.0 zł;;;;10.5 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 15.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-17:00 ;TAK;Maciej Strózik;ul.  Łukasiewicza 27 38-100 Strzyżów, Strzyżów, miasto;7963019876.0;525824772.0;2526/P;www.ekrasnale.pl;NIE;PODKARPACKIE ;Powiat strzyżowski ;Strzyżów ;Strzyżów, miasto ul.  Łukasiewicza 27;49.87010369999999;21.7793628
1807;Żłobek;ŻŁOBEK GUZICZEK;ŁÓDZKIE > Powiat zgierski > Zgierz > Zgierz, miasto ul.  Przędzalniana 16;;wesolymaluch@wp.pl;502047158;46;21.0;1100.0 zł;;;;15.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;NIE;Sylwia Krzewina;;6651942002.0;360857322.0;2669/P;;NIE;ŁÓDZKIE ;Powiat zgierski ;Zgierz ;Zgierz, miasto ul.  Przędzalniana 16;51.8677641;19.4314557
1808;Żłobek;NIEPUBLICZNY ŻŁOBEK JONATAN NR 2;ŚLĄSKIE > Powiat bielski > Czechowice-Dziedzice > Czechowice-Dziedzice, miasto ul. Jana Kasprowicza 46;www.jonatan.pl;kasprowicza@jonatan.pl;600 421 537;23;20.0;1300.0 zł;;;;16.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ;TAK;Placówka Oświatowa JONATAN s.c. Agnieszka Michalak, Jakub  Michalak;ul.  Błękitna 14 43-300 Bielsko-Biała, Bielsko-Biała, miasto;5472123913.0;241656596.0;14742/P;www.jonatan.edu.pl;NIE;ŚLĄSKIE ;Powiat bielski ;Czechowice-Dziedzice ;Czechowice-Dziedzice, miasto ul. Jana Kasprowicza 46;49.9215845;19.0060846
1809;Żłobek;"Niepubliczny Żłobek ""Różowe Okulary""";MAZOWIECKIE > Powiat piaseczyński > Lesznowola > Lesznowola, wieś ul.  Okrężna 63;;przedszkolerozoweokulary@gmail.com;573085921;62;22.0;1100.0 zł;;;200.0 zł;;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-19:00 ;TAK;Piotr Stefan Ammol;ul.  Okrężna 63 05-506 Lesznowola, Lesznowola, wieś;1230296507.0;;18356/P;;NIE;MAZOWIECKIE ;Powiat piaseczyński ;Lesznowola ;Lesznowola, wieś ul.  Okrężna 63;52.0841646;20.943889
1810;Żłobek;Żłobek Akademia Małych Artystów;MAŁOPOLSKIE > Powiat Kraków > Kraków-Podgórze > Kraków-Podgórze, delegatura ul. Adama Bochenka 12B lok. LU1;akademia-malych-artystow.pl;zlobek@akademia-malych-artystow.pl;788131940;30;30.0;1690.0 zł;40.0 zł;;;17.0 zł;Zniżka - Wielodzietność/Karta Dużej Rodziny: 50.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 50.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;NIE;Regina Steczek Akademia Małych Artystów;ul. Adama Bochenka 12B lok. LU1 30-693 Kraków-Podgórze, Kraków-Podgórze, delegatura;7372162145.0;385484778.0;18357/P;;NIE;MAŁOPOLSKIE ;Powiat Kraków ;Kraków-Podgórze ;Kraków-Podgórze, delegatura ul. Adama Bochenka 12B lok. LU1;50.010511;19.9765386
1811;Klub dziecięcy;Klub Dziecięcy Wesołe Nutki w Świdniku;LUBELSKIE > Powiat świdnicki > Świdnik > Świdnik, miasto ul. Mikołaja Kopernika 4;www.biuroprojektow.pulawy.pl;dosiak1@wp.pl;608344020;25;11.0;1200.0 zł;;;;15.0 zł;Zniżka - DOFINANSOWANIE ZE ŚRODKÓW EFS: 75.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:30-15:30 ;TAK;"Dariusz Osiak ""Biuro Przygotowywania Projektów i Zarządzania Funduszami UE""";;7161714139.0;60366591.0;16090/P;www.biuroprojektow.pulawy.pl;NIE;LUBELSKIE ;Powiat świdnicki ;Świdnik ;Świdnik, miasto ul. Mikołaja Kopernika 4;51.2201508;22.7075542
1812;Żłobek;"Niepubliczny Żłobek ""Iskierka""";ZACHODNIOPOMORSKIE > Powiat goleniowski > Maszewo > Maszewo, miasto ul.  Okrzei 7A;www.iskierkamaszewo.pl;iskierka.maszewo@interia.pl;500749581;19;15.0;500.0 zł;;;;15.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ;TAK;"Niepubliczne Przedszkole ""Iskierka"" Iwona Łakatosz";ul.  Okrzei 7A 72-130 Maszewo, Maszewo, miasto;8561855364.0;365322287.0;18348/P;www.iskierkamaszewo.pl;NIE;ZACHODNIOPOMORSKIE ;Powiat goleniowski ;Maszewo ;Maszewo, miasto ul.  Okrzei 7A;53.499192;15.059601
1813;Żłobek;Filia Żłobka Miejskiego Niedziałkowskiego 2;ŚLĄSKIE > Powiat Zabrze > Zabrze > Zabrze, miasto ul. Mieczysława Niedziałkowskiego 2;www.zlobek-zabrze.pl;niedzialkowskiego2@zlobek.zabrze.pl;793818325;40;40.0;;;1.5 zł;;8.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 33.0% Zniżka - RODZINA 5+: 65.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-16:00 ;NIE;Miasto Zabrze;ul.  Powstańców Śląskich 5-7 41-800 Zabrze, Zabrze, miasto;6482743351.0;276255520.0;671/P;;NIE;ŚLĄSKIE ;Powiat Zabrze ;Zabrze ;Zabrze, miasto ul. Mieczysława Niedziałkowskiego 2;50.3117537;18.7839187
1814;Żłobek;"Żłobek ""Kochane niuniusie Bis"" Izabela Dominik - Cichocka";POMORSKIE > Powiat tczewski > Tczew > Tczew, miasto ul. Stefana Okrzei 18;;izadominikcichocka@wp.pl;574436074;15;9.0;1300.0 zł;50.0 zł;;;15.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 5:30-17:00 ;TAK;Izabela Dominik - Cichocka;;5932142646.0;220938523.0;13174/P;;NIE;POMORSKIE ;Powiat tczewski ;Tczew ;Tczew, miasto ul. Stefana Okrzei 18;54.0873988;18.8005888
1815;Żłobek;"Żłobek Niepubliczny ""Koliberek""";ŁÓDZKIE > Powiat Łódź > Łódź-Górna > Łódź-Górna, delegatura ul.  Starorudzka 10b;www.przedszkole-koliberek.pl;biuro@przedszkole-koliberek.pl;600294206;36;36.0;1200.0 zł;;;;18.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;TAK;"Klub Malucha ""Koliberek"" - Barbara Guzek";;7272612531.0;100579244.0;1703/P;www.przedszkole-koliberek.pl;NIE;ŁÓDZKIE ;Powiat Łódź ;Łódź-Górna ;Łódź-Górna, delegatura ul.  Starorudzka 10b;51.7149999;19.4377
1816;Żłobek;Niepubliczny Żłobek A KUKU;WIELKOPOLSKIE > Powiat średzki > Zaniemyśl > Jeziory Małe, wieś ul.  Spacerowa 3;www.akuku-lekno.pl;sekretariat@akuku-lekno.pl;691615876;40;29.0;500.0 zł;30.0 zł;;;13.5 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ;NIE;MED-LUK MILENA ZIEMBA, A KUKU MILENA ZIEMBA;;6172022373.0;302225120.0;1739/P;www.akuku-lekno.pl;NIE;WIELKOPOLSKIE ;Powiat średzki ;Zaniemyśl ;Jeziory Małe, wieś ul.  Spacerowa 3;52.1642496;17.1513412
1817;Żłobek;Prywatny Żłobek Małe Tygryski 2;MAŁOPOLSKIE > Powiat Kraków > Kraków-Nowa Huta > Kraków-Nowa Huta, delegatura os.  Osiedle Złotego Wieku 14 lok. 3;www.zlobek-tygryski.eu;zlobek-male-tygryski@wp.pl;798271602;21;21.0;1790.0 zł;50.0 zł;;;17.4 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ;NIE;Rena-Dars.S.C. Renata Juruś, Natalia Kąklewska, Ewelina Juruś;os.  Osiedle Dywizjonu 303 5 lok. 6 31-871 Kraków-Nowa Huta, Kraków-Nowa Huta, delegatura;6751539754.0;363960291.0;2683/P;www.zlobek-tygryski.eu;NIE;MAŁOPOLSKIE ;Powiat Kraków ;Kraków-Nowa Huta ;Kraków-Nowa Huta, delegatura os.  Osiedle Złotego Wieku 14 lok. 3;50.096872;20.001563
1818;Żłobek;Słonecznik II;ŚLĄSKIE > Powiat Dąbrowa Górnicza > Dąbrowa Górnicza > Dąbrowa Górnicza, miasto al.  Aleja Zwycięstwa 85;;danekdanuta111@gmail.com;792 313 256;25;14.0;1450.0 zł;;;;19.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ;TAK;Seskom sp. z o.o.;ul.  Sikorskiego 49a lok. 3 42-300 Myszków, Myszków, miasto;5771982908.0;367169068.0;18372/P;;NIE;ŚLĄSKIE ;Powiat Dąbrowa Górnicza ;Dąbrowa Górnicza ;Dąbrowa Górnicza, miasto al.  Aleja Zwycięstwa 85;50.37946059999999;19.2442055
1819;Żłobek;NIEPUBLICZNY JĘZYKOWY ŻŁOBEK MONTESSORI SZCZECINEK;ZACHODNIOPOMORSKIE > Powiat szczecinecki > Szczecinek > Szczecinek, miasto ul. Kardynała Stefana Wyszyńskiego 71;;montessori.szczecinek@gmail.com;513454316;25;25.0;890.0 zł;;;;14.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ;TAK;Lakszmi Katarzyna Dwulit;;8431539280.0;384109558.0;16909/P;;NIE;ZACHODNIOPOMORSKIE ;Powiat szczecinecki ;Szczecinek ;Szczecinek, miasto ul. Kardynała Stefana Wyszyńskiego 71;53.7032947;16.6975526
1820;Żłobek;Żłobek Gminny w Klimontowie;ŚWIĘTOKRZYSKIE > Powiat sandomierski > Klimontów > Klimontów, miasto ul.  Szkolna 0 lok. 1;;przedszkoleklimontow@op.pl;158 661 028;14;14.0;300.0 zł;;;;7.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ;NIE;Gmina Klimontów;ul. dr. Jakuba Zysmana 1 27-640 Klimontów, Klimontów, miasto;8641729561.0;830409940.0;18373/P;klimontow.pl;NIE;ŚWIĘTOKRZYSKIE ;Powiat sandomierski ;Klimontów ;Klimontów, miasto ul.  Szkolna 0 lok. 1;50.6560244;21.4516428
1821;Żłobek;"Gminny Żłobek ""Bajkowa Przystań"" w Jaszczowie";LUBELSKIE > Powiat łęczyński > Milejów > Jaszczów, wieś Jaszczów, wieś 24;;spjaszczow@wp.pl;817572057;24;24.0;541.8 zł;20.0 zł;;;12.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 50.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-16:00 ;TAK;Gmina Milejów;ul.  Partyzancka 13A 21-020 Milejów, Milejów-Osada, osada;5050042606.0;431019550.0;18377/P;www.milejow.pl;NIE;LUBELSKIE ;Powiat łęczyński ;Milejów ;Jaszczów, wieś Jaszczów, wieś 24;51.2054339;22.9266974
1822;Żłobek;"Publiczny Żłobek ""Jak u Mamy""";MAŁOPOLSKIE > Powiat wadowicki > Spytkowice > Spytkowice, wieś ul.  Wiślana 53;;zlobek@spytkowice.net.pl;338791887;24;24.0;1100.0 zł;50.0 zł;;;18.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 45.0% Zniżka - Zamieszkiwanie na terenie gminy: 55.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ;TAK;Gmina Spytkowice;ul.  Zamkowa 12 34-116 SPYTKOWICE, Spytkowice, wieś;5511123930.0;72182090.0;18367/P;;NIE;MAŁOPOLSKIE ;Powiat wadowicki ;Spytkowice ;Spytkowice, wieś ul.  Wiślana 53;50.008688;19.5399399
1823;Klub dziecięcy;"KLUBIK MALUCHA ,,U CIOCI ULI"" URSZULA CHILKO";ZACHODNIOPOMORSKIE > Powiat drawski > Drawsko Pomorskie > Drawsko Pomorskie, miasto pl.  Plac Konstytucji 8-11;www.klubikuuli.pl;ula-chilko@wp.pl;795 900 284;18;18.0;1100.0 zł;;;315.0 zł;;Zniżka - Dotacja  z budżetu Gminy w kwocie 250 zł do dziecka w miesiącu obniżała opłatę rodziców do kwoty 1100 zł.: 17.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:00 ;NIE;KLUBIK MALUCHA U CIOCI ULI URSZULA CHILKO;pl.  Plac Konstytucji 8-11 78-500 Drawsko Pomorskie, Drawsko Pomorskie, miasto;6741048664.0;330420212.0;2641/P;WWW.KLUBIKUULI.PL;NIE;ZACHODNIOPOMORSKIE ;Powiat drawski ;Drawsko Pomorskie ;Drawsko Pomorskie, miasto pl.  Plac Konstytucji 8-11;53.530533;15.812082
1824;Żłobek;4me Montessori;POMORSKIE > Powiat wejherowski > Reda > Reda, miasto ul.  Parkowa 7;www.formemontessori.pl;biuro@formemontessori.pl;508081471;16;15.0;1650.0 zł;;;;16.0 zł;Zniżka - Wielodzietność/Karta Dużej Rodziny: 15.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 15.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;NIE;A&M Sp. z o.o.;ul.  Parkowa 7 84-240 Reda, Reda, miasto;5882458903.0;386309333.0;18380/P;www.formemontessori.pl;NIE;POMORSKIE ;Powiat wejherowski ;Reda ;Reda, miasto ul.  Parkowa 7;54.6127613;18.3561447
1825;Żłobek;Klub Malucha Akademia Malucha Magdalena Mańkowska;PODLASKIE > Powiat bielski > Bielsk Podlaski > Bielsk Podlaski, miasto ul.  Stefana Batorego 15;;magdalena.mankowska85@wp.pl;795592034;14;14.0;1100.0 zł;;;;8.8 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:00 ;NIE;Magdalena Mańkowska;ul.  Stefana Batorego 15 17-100 Bielsk Podlaski, Bielsk Podlaski, miasto;5432079376.0;365353833.0;1684/P;www.facebook.com/akademiamaluchabielsk/;NIE;PODLASKIE ;Powiat bielski ;Bielsk Podlaski ;Bielsk Podlaski, miasto ul.  Stefana Batorego 15;52.7653715;23.1986417
1826;Żłobek;Żłobek KOGUT;ŚLĄSKIE > Powiat Bytom > Bytom > Bytom, miasto ul.  Orzegowska 13;www.przedszkolekogut.pl;m.gaponik@przedszkolekogut.pl;519024024;61;61.0;1420.0 zł;;;;18.0 zł;Zniżka - Wielodzietność/Karta Dużej Rodziny: 10.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ;NIE;Rino Rino Sp. z o. o.;ul.  Nowa 3 62-080 Tarnowo Podgórne, Lusowo, wieś;7812004664.0;385108265.0;491/P;www.przedszkolekogut.pl;NIE;ŚLĄSKIE ;Powiat Bytom ;Bytom ;Bytom, miasto ul.  Orzegowska 13;50.336153;18.8903697
1827;Żłobek;Niepubliczny Żłobek TUPTU Wilanów;MAZOWIECKIE > Powiat Warszawa > Warszawa - Wilanów > Warszawa - Wilanów, dzielnica m. st. Warszawy ul.  Kosiarzy 37 lok. 81;;wilanow@tuptu.pl;730670673;32;18.0;1900.0 zł;;;;20.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 5.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-18:00 ;NIE;TUPTU Spółka z ograniczoną odpowiedzialnością; 45a 05-080 Stare Babice, Koczargi Stare, wieś;1182175443.0;380465693.0;1624/P;www.tuptu.pl;NIE;MAZOWIECKIE ;Powiat Warszawa ;Warszawa - Wilanów ;Warszawa - Wilanów, dzielnica m. st. Warszawy ul.  Kosiarzy 37 lok. 81;52.168493;21.0760634
1828;Klub dziecięcy;Klub Dziecięcy Nr 1 w Cekowie-Kolonii;WIELKOPOLSKIE > Powiat kaliski > Ceków-Kolonia > Ceków-Kolonia, wieś Ceków-Kolonia, wieś 41B;;gopscekow@post.pl;627631088;32;10.0;1300.0 zł;;;;8.0 zł;Zniżka - mieszkaniec gminy: 60.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:00 ;TAK;Gmina Ceków-Kolonia; 51 62-834 Ceków, Ceków-Kolonia, wieś;9680861041.0;250855570.0;18389/P;www.cekow.pl;NIE;WIELKOPOLSKIE ;Powiat kaliski ;Ceków-Kolonia ;Ceków-Kolonia, wieś Ceków-Kolonia, wieś 41B;51.8911886;18.2988125
1829;Żłobek;Żłobek Mini Mini;MAŁOPOLSKIE > Powiat Kraków > Kraków-Nowa Huta > Kraków-Nowa Huta, delegatura ul.  Sołtysowska 37C;krakowminimini.pl;kontakt@krakowminimini.pl;794394894;36;36.0;1850.0 zł;20.0 zł;;;18.0 zł;Zniżka - Wielodzietność/Karta Dużej Rodziny: 10.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 5.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek, Sobota 06:30-18:00 ;TAK;Mini Mini Żłobki i Przedszkola Katarzyna Cybruch  Spółka Jawna;os.  Osiedle Na Lotnisku 1 lok. LU2 31-801 Kraków-Nowa Huta, Kraków-Nowa Huta, delegatura;6783170855.0;368715739.0;12355/P;krakowminimini.pl;NIE;MAŁOPOLSKIE ;Powiat Kraków ;Kraków-Nowa Huta ;Kraków-Nowa Huta, delegatura ul.  Sołtysowska 37C;50.0624417;20.0234074
1830;Żłobek;NIEPUBLICZNY TATUSIOWY ŻŁOBEK;OPOLSKIE > Powiat prudnicki > Biała > Biała, miasto ul.  Moniuszki 3 lok. 1U;;krzyskow.g@gmail.com;604519730;17;17.0;1500.0 zł;;;;14.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 50.0% Zniżka - ULGA WŁASNA PROWADZĄCEGO 800 ZŁ: 53.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-16:00 ;NIE;Biuro Podróży AGRICOLA Grzegorz Krzyśków;;9910213683.0;160353384.0;13488/P;;NIE;OPOLSKIE ;Powiat prudnicki ;Biała ;Biała, miasto ul.  Moniuszki 3 lok. 1U;50.38655439999999;17.6620306
1831;Klub dziecięcy;Klub Dziecięcy w Radzyniu Chełmińskim;KUJAWSKO-POMORSKIE > Powiat grudziądzki > Radzyń Chełmiński > Radzyń Chełmiński, miasto ul.  Sady 14;;klub@radzynchelminski.eu;48 733 420 900;16;12.0;1000.0 zł;50.0 zł;;;10.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:00 ;TAK;Gmina Miasto i Gmina Radzyń Chełmiński;pl.  Towarzystwa Jaszczurczego 9 87-220 Radzyń Chełmiński, Radzyń Chełmiński, miasto;8762308769.0;871118655.0;18393/P;www.radzynchelminski.eu;NIE;KUJAWSKO-POMORSKIE ;Powiat grudziądzki ;Radzyń Chełmiński ;Radzyń Chełmiński, miasto ul.  Sady 14;53.38239;18.9377529
1832;Klub dziecięcy;"Klub Malucha ""OKRUSZEK"" Magdalena Wójcik";ZACHODNIOPOMORSKIE > Powiat białogardzki > Białogard > Białogard, miasto ul. Jana Kiepury 15A lok. 1;;magdawo1@wp.pl;505076252;8;8.0;800.0 zł;20.0 zł;;;12.5 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-16:00 ;NIE;"Klub Malucha ""OKRUSZEK"" Magdalena Wójcik";;6721740730.0;364563190.0;18414/P;;NIE;ZACHODNIOPOMORSKIE ;Powiat białogardzki ;Białogard ;Białogard, miasto ul. Jana Kiepury 15A lok. 1;54.0090587;16.0084375
1833;Klub dziecięcy;Klub Malucha Olimpijczyk;WIELKOPOLSKIE > Powiat Poznań > Poznań-Jeżyce > Poznań-Jeżyce, delegatura ul.  Kościerzyńska 76 lok. 78;;ptec@o2.pl;(061) 84 10 294/295;16;0.0;1100.0 zł;;;;8.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 15.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;TAK;Centrum Edukacji, Sportu i Terapii Olimpijczyk Spółka z Ograniczoną Odpowiedzialnością;ul.  Kościerzyńska 76 lok. 78 60-446 Poznań-Jeżyce, Poznań-Jeżyce, delegatura;7811010473.0;632219634.0;18395/P;;NIE;WIELKOPOLSKIE ;Powiat Poznań ;Poznań-Jeżyce ;Poznań-Jeżyce, delegatura ul.  Kościerzyńska 76 lok. 78;52.43917620000001;16.8165333
1834;Żłobek;"Niepubliczny Żłobek ""Żyrafie Ucho""";WIELKOPOLSKIE > Powiat Poznań > Poznań-Nowe Miasto > Poznań-Nowe Miasto, delegatura ul.  Katowicka 81A lok. 101;www.zyrafieucho.pl;zyrafieucho@gmail.com;723518122;18;18.0;1650.0 zł;30.0 zł;;;17.5 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;TAK;"Niepubliczny Żłobek ""Żyrafie Ucho"" Joanna Janicka";ul.  Katowicka 81A lok. 101 61-131 Poznań-Nowe Miasto, Poznań-Nowe Miasto, delegatura;7632084650.0;387047616.0;18396/P;www.zyrafieucho.pl;NIE;WIELKOPOLSKIE ;Powiat Poznań ;Poznań-Nowe Miasto ;Poznań-Nowe Miasto, delegatura ul.  Katowicka 81A lok. 101;52.39606800000001;16.96602
1835;Żłobek;Żłobek Niepubliczny Akademia Smyka II;LUBUSKIE > Powiat Gorzów Wielkopolski > Gorzów Wielkopolski > Gorzów Wielkopolski, miasto ul.  Kobylogórska 94-95;akademia-smyka.cba.pl;akademia_smyka@wp.pl;500068769;25;25.0;900.0 zł;40.0 zł;;;9.0 zł;Zniżka - Dofinansowanie z Urzędu Miasta Gorzowa Wlkp. dla osób zamieszkujących a terenie miasta - 200zł Zniżka - 400 zł. zniżki dla rodziców , którzy mają przyznane dofinansowanie z ZUS w ramach dofinansowania: 66.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-16:00 ;NIE;Przedszkole Niepubliczne Akademia Smyka Renata Szostak;;5961187746.0;360199988.0;17436/P;www.akademia-smyka.cba.pl;NIE;LUBUSKIE ;Powiat Gorzów Wielkopolski ;Gorzów Wielkopolski ;Gorzów Wielkopolski, miasto ul.  Kobylogórska 94-95;52.716639;15.261996
1836;Żłobek;Żłobek Niepubliczny Hula Hop;KUJAWSKO-POMORSKIE > Powiat toruński > Chełmża > Chełmża, miasto ul.  Chełmińska 36;;zlobek.chelmza@gmail.com;732824224;28;18.0;1050.0 zł;;;;14.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ;NIE;Odyseja Edukacjo Sp. z o.o.;ul. Tomasza Stawisińskiego 7 87-100 Toruń, Toruń, miasto;8792671440.0;341482390.0;1469/P;www.maluchwtoruniu.pl;NIE;KUJAWSKO-POMORSKIE ;Powiat toruński ;Chełmża ;Chełmża, miasto ul.  Chełmińska 36;53.1894663;18.6143802
1837;Klub dziecięcy;Gminny Klub Dziecięcy Happy Kids;KUJAWSKO-POMORSKIE > Powiat wąbrzeski > Książki > Książki, wieś ul.  Szkolna 6;;happykids@gminaksiazki.pl;732733716;16;16.0;800.0 zł;50.0 zł;;;9.5 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ;TAK;Gmina Książki;ul.  Bankowa 4 87-222 Książki, Książki, wieś;8781751833.0;871118804.0;18361/P;https://www.gminaksiazki.pl/;NIE;KUJAWSKO-POMORSKIE ;Powiat wąbrzeski ;Książki ;Książki, wieś ul.  Szkolna 6;53.3272272;19.070129
1838;Żłobek;Publiczny Żłobek w Chrząstowicach;MAŁOPOLSKIE > Powiat wadowicki > Brzeźnica > Chrząstowice, wieś ul.  Długa 18;www.kącikdlamaluszka.pl;zlobek@brzeznica.pl;33 879 20 29;22;22.0;650.0 zł;20.0 zł;;;7.5 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 0.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-16:00 ;NIE;Gmina Brzeźnica;ul. Krakowska 109 34-114 Brzeźnica;5511123918.0;72182048.0;3474/P;www.brzeznica.pl;NIE;MAŁOPOLSKIE ;Powiat wadowicki ;Brzeźnica ;Chrząstowice, wieś ul.  Długa 18;49.9783076;19.6078344
