id;institutionType;name;localization;voivodeship;county;city;address;latitude;longitude;website;email;phone;capacity;kidsEnrolled;basicPricePerMonth;extendedStayOver10H;basicPricePerHour;foodPricePerMonth;foodPricePerDay;discounts;openingHours;isAdaptedToDisabledChildren;operatingEntityName;operatingEntityAddress;operatingEntityNIP;operatingEntityREGON;operatingEntityRegNoPosition;operatingEntityWebsite;businessActivitySuspended
1018;Żłobek;Niepubliczny Dwujęzyczny Żłobek KIDS&Co.;WIELKOPOLSKIE > Powiat Poznań > Poznań-Wilda > Poznań-Wilda, delegatura ul.  Przemysłowa 3;WIELKOPOLSKIE ;Powiat Poznań ;Poznań-Wilda ;Poznań-Wilda, delegatura ul.  Przemysłowa 3;52.4011392;16.9187173;www.kids-co.pl;monika.jaworska@kids-co.pl;887888174;49;25;500.0 zł;;;200.0 zł;;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:15-17:30 ;NIE;Centrum Rozwoju Dziecka Sp. z o.o.;ul.  Chłodna 51 00-867 Warszawa - Wola, Warszawa - Wola, dzielnica m. st. Warszawy;5252515491;142984383;499/P;www.kids-co.pl;NIE
1019;Żłobek;"Żłobek ""Uśmiechnięty maluch"" ";KUJAWSKO-POMORSKIE > Powiat Grudziądz > Grudziądz > Grudziądz ul. Moniuszki 13a;KUJAWSKO-POMORSKIE ;Powiat Grudziądz ;Grudziądz ;Grudziądz ul. Moniuszki 13a;53.4849718;18.7595481;;ordst@wp.pl;663201111;20;17;1100.0 zł;40.0 zł;;;10.0 zł;Zniżka - rodzeństwo uczęszczające do instytucji - opłata wpisowego: 50.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:00 ;NIE;OPUS II sp. z o.o.;ul.  Moniuszki 13a 86-300 Grudziądz, Grudziądz, miasto;8762172488;871551866;15416/P;;NIE
1020;Żłobek;Żłobek MAŁE STÓPKI;POMORSKIE > Powiat Gdańsk > Gdańsk > Gdańsk ul. Jeleniogórska 63 lok. B;POMORSKIE ;Powiat Gdańsk ;Gdańsk ;Gdańsk ul. Jeleniogórska 63 lok. B;54.328142;18.581718;www.malestopki.gda.pl;kontakt@malestopki.gda.pl;605540605;21;17;1600.0 zł;45.0 zł;;;16.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:30 ;NIE;ARTmedia Angelika Eliasz;;5842270240;141551914;2997/P;www.malestopki.gda.pl;NIE
1021;Żłobek;Żłobek PICCOLINO;OPOLSKIE > Powiat głubczycki > Głubczyce > Głubczyce ul. Żeromskiego 25;OPOLSKIE ;Powiat głubczycki ;Głubczyce ;Głubczyce ul. Żeromskiego 25;50.20485900000001;17.816622;www.piccolino-glubczyce.pl;biuro@piccolino-glubczyce.pl;669080001;55;47;550.0 zł;;;175.0 zł;;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ;NIE;Mariola Paterek;;7481216785;160404897;314/P;wwwpiccolino-glubczyce.pl;NIE
1022;Żłobek;Żłobek Jarzębinka;WIELKOPOLSKIE > Powiat Kalisz > Kalisz > Kalisz ul. Jarzębinowa 12;WIELKOPOLSKIE ;Powiat Kalisz ;Kalisz ;Kalisz ul. Jarzębinowa 12;51.7637868;18.071867;;Dorotajakubek53@gmai.com;509019073;14;9;453.0 zł;;;147.0 zł;;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;NIE;Dorota Jakubek;;6181016343;250043435;795/P;;NIE
1023;Klub dziecięcy;Qubusiowa Kraina;DOLNOŚLĄSKIE > Powiat Wrocław > Wrocław-Fabryczna > Wrocław-Fabryczna ul. Maślicka 176 lok. 2;DOLNOŚLĄSKIE ;Powiat Wrocław ;Wrocław-Fabryczna ;Wrocław-Fabryczna ul. Maślicka 176 lok. 2;51.1573434;16.9303672;domino-przedszkole.pl;domino.przedszkole@gmail.com;505 244 052;12;12;1300.0 zł;;;;21.0 zł;Zniżka - Dziecko niepełnosprawne lub wymagające szczególnej opieki: 10.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;TAK;Domino Joanna Rowińska;;8862479370;20155780;13548/P;domino-przedszkole.pl;NIE
1024;Klub dziecięcy;Qubusiowa Kraina 2;DOLNOŚLĄSKIE > Powiat Wrocław > Wrocław-Fabryczna > Wrocław-Fabryczna ul. Maślicka 176 lok. 5;DOLNOŚLĄSKIE ;Powiat Wrocław ;Wrocław-Fabryczna ;Wrocław-Fabryczna ul. Maślicka 176 lok. 5;51.1573434;16.9303672;domino-przedszkole.pl;domino.przedszkole@gmail.com;505 244 052;12;12;1300.0 zł;;;;21.0 zł;Zniżka - Dziecko niepełnosprawne lub wymagające szczególnej opieki: 10.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:30 ;TAK;Domino Joanna Rowińska;;8862479370;20155780;13548/P;domino-przedszkole.pl;NIE
1025;Żłobek;"Żłobek ""Akademia Smyka""";ŁÓDZKIE > Powiat radomszczański > Gomunice > Gomunice ul. Wincentego Witosa 1;ŁÓDZKIE ;Powiat radomszczański ;Gomunice ;Gomunice ul. Wincentego Witosa 1;51.1684456;19.4891381;;ug@gomunice.pl;446842485;22;20;600.0 zł;;;;20.0 zł;Zniżka - Pobyt dzieci z terenu Gminy Gomunice 50% zniżki: 50.0% ;Godziny pracy: ;TAK;Gmina Gomunice;ul. Armii Krajowej 30 97-545 Gomunice;7722336291;590647954;8137/P;http://bip.gomunice.pl/;NIE
1026;Żłobek;"Żłobek Przedszkola Językowo-Artystycznego ""Akademia Przedszkolaka""";MAŁOPOLSKIE > Powiat oświęcimski > Chełmek > Chełmek ul. Plac Jana Kilińskiego 1;MAŁOPOLSKIE ;Powiat oświęcimski ;Chełmek ;Chełmek ul. Plac Jana Kilińskiego 1;50.0380111;19.2083158;www.przedszkole-chelmek.com.pl;biuro@przedszkole-chelmek.com.pl;694310834;7;7;1100.0 zł;;;;16.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:15-16:30 ;NIE;Agnieszka Kuczyńska-Gondzik;;9541984892;120993324;2732/P;www.przedszkole-chelmek.com.pl;NIE
1027;Żłobek;Baśniowy Pałacyk - Żłobek;MAZOWIECKIE > Powiat grójecki > Grójec > Grójec, miasto Grójec, miasto 100b;MAZOWIECKIE ;Powiat grójecki ;Grójec ;Grójec, miasto Grójec, miasto 100b;51.8655118;20.8666034;www.basniowypalacyk.pl;basniowypalacyk@op.pl;508832025;20;16;850.0 zł;;;150.0 zł;;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-18:30 ;NIE;Niepubliczne Przedszkole Baśniowy Pałacyk;ul. Józefa Piłsudskiego 100b 05-600 Grójec, Grójec, miasto;7972059622;366120440;15431/P;www.basniowypalacyk.pl;NIE
1028;Klub dziecięcy;"Klub Malucha ""MAGICZNA POLANKA"" s.c. Małgorzata Zadworna Aleksandra Chłapowska";DOLNOŚLĄSKIE > Powiat wrocławski > Siechnice > Radwanice ul. Wrocławska 77;DOLNOŚLĄSKIE ;Powiat wrocławski ;Siechnice ;Radwanice ul. Wrocławska 77;51.0527545;17.1109676;www.magicznapolanka.pl;info@magicznapolanka.pl;515227715;25;16;1400.0 zł;50.0 zł;;;19.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:45-16:45 ;TAK;"KLUB MALUCHA ""MAGICZNA POLANKA"" sc Małgorzata Zadworna Aleksandra Chłapowska";ul.  Wrocławska 77 55-010 Siechnice, Radwanice, wieś;8961586672;383306140;15434/P;www.magicznapolanka.pl;NIE
1029;Żłobek;Żłobek Na Polance;OPOLSKIE > Powiat Opole > Opole > Opole ul. Wolności 65;OPOLSKIE ;Powiat Opole ;Opole ;Opole ul. Wolności 65;50.7311717;17.9079169;www.napolance.eu;biuro@napolance.eu;608537979;37;37;1150.0 zł;35.0 zł;;;12.0 zł;Zniżka - Zniżka pracownicza: 30.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ;TAK;Beata Goranczewska BG Doradztwo;;7521182065;160086380;15435/P;www.napolance.eu;NIE
1030;Żłobek;ŻŁOBEK KRAINA SŁODZIAKÓW ;PODKARPACKIE > Powiat jasielski > Jasło > Jasło ul. Krzysztofa Kamila Baczyńskiego 15 lok. 13;PODKARPACKIE ;Powiat jasielski ;Jasło ;Jasło ul. Krzysztofa Kamila Baczyńskiego 15 lok. 13;49.7378054;21.4660075;;zlobekjaslo@gmail.com;533 998 780;34;34;1100.0 zł;;;;14.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ;NIE;Aneta Leśniak;;8191479198;369520370;14463/P;;NIE
1031;Żłobek;NIEPUBLICZNY ŻŁOBEK DOMOWY ZAKĄTEK ANNA JAWORSKA;MAŁOPOLSKIE > Powiat bocheński > Łapanów > Łapanów Łapanów 25;MAŁOPOLSKIE ;Powiat bocheński ;Łapanów ;Łapanów Łapanów 25;49.8645692;20.289332;;anna.sliwa@hotmail.com;602555232;25;24;1050.0 zł;;;;10.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-16:30 ;NIE;NIEPUBLICZNY ŻŁOBEK DOMOWY ZAKĄTEK ANNA JAWORSKA;;6782947922;;15429/P;;NIE
1032;Żłobek;Żłobek Miejski w Dębicy Filia nr 2;PODKARPACKIE > Powiat dębicki > Dębica > Dębica ul. Księdza Kołłątaja 8;PODKARPACKIE ;Powiat dębicki ;Dębica ;Dębica ul. Księdza Kołłątaja 8;50.04905609999999;21.3977936;;zlobekmiejski@zlobekdebica.pl;146812414;95;76;594.0 zł;;;;7.5 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 25.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-16:30 ;TAK;Gmina Miasto Dębica;ul.  Ratuszowa 2 39-200 Dębica, Dębica, miasto;8722230742;851661205;783/P;;NIE
1033;Żłobek;Żłobek Miejski w Dębicy Filia nr 1;PODKARPACKIE > Powiat dębicki > Dębica > Dębica ul. Szkolna 4;PODKARPACKIE ;Powiat dębicki ;Dębica ;Dębica ul. Szkolna 4;50.0562312;21.4046586;;zlobekmiejski@zlobekdebica.pl;146812414;54;54;594.0 zł;;;;7.5 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 25.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-16:30 ;NIE;Gmina Miasto Dębica;ul.  Ratuszowa 2 39-200 Dębica, Dębica, miasto;8722230742;851661205;783/P;;NIE
1034;Żłobek;"Żłobek ""Pszczółka Maja""";MAŁOPOLSKIE > Powiat limanowski > Limanowa > Siekierczyna, wieś Siekierczyna, wieś 357;MAŁOPOLSKIE ;Powiat limanowski ;Limanowa ;Siekierczyna, wieś Siekierczyna, wieś 357;49.6515267;20.4336929;;midrew@poczta.fm;183376770;29;6;600.0 zł;;;;11.0 zł;Zniżka - Wielodzietność/Karta Dużej Rodziny: 16.0% Zniżka - Samotne wychowanie dziecka: 16.0% Zniżka - Dziecko niepełnosprawne lub wymagające szczególnej opieki: 16.0% Zniżka - Dochód rodzinny: 16.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 16.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-18:00 ;TAK;P.H.U. MIDREW Zespół Placówek Oświatowo-Edukacyjno-Rekreacyjnych;;7371246839;491870261;7096/P;;NIE
1035;Żłobek;Niepubliczny Żłobek Entliczek;DOLNOŚLĄSKIE > Powiat Wrocław > Wrocław-Krzyki > Wrocław-Krzyki ul. gen. Stefana Grota-Roweckiego 115a;DOLNOŚLĄSKIE ;Powiat Wrocław ;Wrocław-Krzyki ;Wrocław-Krzyki ul. gen. Stefana Grota-Roweckiego 115a;51.0574464;17.0310601;;EntliczekZlobek@gmail.com;726746501;20;20;1300.0 zł;35.0 zł;;;16.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ;NIE;Entliczek Sylwia Kałuziak;;7162799310;383673989;15469/P;;NIE
1036;Żłobek;Niepubliczny Żłobek Balonik;MAZOWIECKIE > Powiat Warszawa > Warszawa - Białołęka > Warszawa - Białołęka, dzielnica m. st. Warszawy ul. Józefa Mehoffera 45D;MAZOWIECKIE ;Powiat Warszawa ;Warszawa - Białołęka ;Warszawa - Białołęka, dzielnica m. st. Warszawy ul. Józefa Mehoffera 45D;52.3298326;20.954097;;balonikklubmalucha@gmail.com;796097886;30;30;0.0 zł;;;;14.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-18:00 ;NIE;Bożena Sobiech;;7162471779;146273006;2490/P;;NIE
1037;Klub dziecięcy;KLUB MALUSZKA ADAŚ BARBARA LIS;MAŁOPOLSKIE > Powiat Nowy Sącz > Nowy Sącz > Nowy Sącz, miasto ul. św. Kunegundy 30;MAŁOPOLSKIE ;Powiat Nowy Sącz ;Nowy Sącz ;Nowy Sącz, miasto ul. św. Kunegundy 30;49.6115042;20.6931993;adas-klubmaluszka.malopolska.pl;balinka3@o2.pl;504186214;15;16;850.0 zł;;;;18.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ;NIE;KLUB MALUSZKA ADAŚ BARBARA LIS;ul. św. Kunegundy 30 33-300 Nowy Sącz, Nowy Sącz, miasto;7341780907;492038317;15471/P;;NIE
1038;Żłobek;Niepubliczny Żłobek Tuptuś;MAZOWIECKIE > Powiat węgrowski > Węgrów > Węgrów, miasto ul. Karola Szamoty 42a;MAZOWIECKIE ;Powiat węgrowski ;Węgrów ;Węgrów, miasto ul. Karola Szamoty 42a;52.40479690000001;22.0248922;;niepublicznyzlobek.tuptus@gmail.com;509058750;30;32;850.0 zł;;;;16.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ;NIE;Niepubliczne Przedszkole i Żłobek Tuptuś Magdalena Roguszewska;;5262838267;382706847;15529/P;;NIE
1039;Żłobek;"Niepubliczne Przedszkole ze Żłobkiem ""Przedszkole przy Szkole"" ";ZACHODNIOPOMORSKIE > Powiat sławieński > Darłowo > Darłowo ul. Szkolna 9;ZACHODNIOPOMORSKIE ;Powiat sławieński ;Darłowo ;Darłowo ul. Szkolna 9;54.4246059;16.4125752;"www.niepubliczne przedszkole ze żłobkiem ""Przedszkole przy Szkole""";p.walkow@gmail.com;600892760;50;50;300.0 zł;;;;10.0 zł;Zniżka - Wielodzietność/Karta Dużej Rodziny: 100.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:15-17:30 ;TAK;Wacław Wysocki;;6691101875;330061144;36/P;www.przedszkoleprzyszkole.pl;NIE
1040;Żłobek;"Żłobek ""Wesołe Krasnoludki""";MAŁOPOLSKIE > Powiat limanowski > Laskowa > Ujanowice Ujanowice 18;MAŁOPOLSKIE ;Powiat limanowski ;Laskowa ;Ujanowice Ujanowice 18;49.7468602;20.5562151;http://www.przedszkolesloneczko.com.pl/;midrew@poczta.fm;608 652 837;30;16;600.0 zł;;;;11.0 zł;Zniżka - Wielodzietność/Karta Dużej Rodziny: 16.0% Zniżka - Samotne wychowanie dziecka: 16.0% Zniżka - Dziecko niepełnosprawne lub wymagające szczególnej opieki: 50.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 16.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-18:00 ;TAK;P.H.U. MIDREW Zespół Placówek Oświatowo-Edukacyjno-Rekreacyjnych;;7371246839;491870261;7096/P;;NIE
1041;Żłobek;"ŻŁOBEK ""ANIMATOR""";ŚLĄSKIE > Powiat Gliwice > Gliwice > Gliwice ul. Mewy 34;ŚLĄSKIE ;Powiat Gliwice ;Gliwice ;Gliwice ul. Mewy 34;50.27907829999999;18.6552921;www.zlobek.halogen.org.pl;animatorm.zlobek@gmail.com;48603926213;30;28;1200.0 zł;50.0 zł;;;14.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ;TAK;STOWARZYSZENIE ANIMATORÓW WSZECHSTRONNEGO ROZWOJU MŁODZIEŻY;ul. Norberta Barlickiego 3 44-100 Gliwice, Gliwice, miasto;6312171022;273818217;15549/P;;NIE
4452;Żłobek;Żłobki Miejskie;ŚLĄSKIE > Powiat Gliwice > Gliwice > Gliwice ul. Mewy 34;ŚLĄSKIE ;Powiat Gliwice ;Gliwice ;Gliwice ul. Mewy 34;50.27907829999999;18.6552921;www.zlobki.gliwice.pl;oddz2@zlobki.gliwice.pl;32/401 24 10;30;30;933.0 zł;10.0 zł;;;8.0 zł;Zniżka - jeśli rodzeństwo uczęszcza do żłobka, klubu dziecięcego lub dziennego opiekuna: 30.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-16:45 ;NIE;Gmina Gliwice;Zwycięstwa 21 44-100 Gliwice;6311006640;276255335;504/P;http://gliwice.eu;NIE
1042;Klub dziecięcy;"Klub Dziecięcy ""Zielony Zakątek""";POMORSKIE > Powiat wejherowski > Szemud > Bojano ul. Józefa Wybickiego 18;POMORSKIE ;Powiat wejherowski ;Szemud ;Bojano ul. Józefa Wybickiego 18;54.4716271;18.38427;www.zzbojano.pl;zzbojano@wp.pl;721451720;17;17;1000.0 zł;;;;14.0 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 15.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ;NIE;Monika Dawidowska;;5891728733;221251426;15415/P;www.zzbojano.pl;NIE
1043;Żłobek;Niepubliczny Żłobek Kubusiowa Chatka Klaudia Karczewska;MAŁOPOLSKIE > Powiat krakowski > Mogilany > Libertów ul. Korczynowa 2A lok. 2;MAŁOPOLSKIE ;Powiat krakowski ;Mogilany ;Libertów ul. Korczynowa 2A lok. 2;49.9727273;19.9014453;www.kubusiowa-chatka.pl;kubusiowachatka.biuro@gmail.com;518200845;18;18;1400.0 zł;;;;17.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ;NIE;Niepubliczny Żłobek Kubusiowa Chatka Klaudia Karczewska;;6551911663;382871724;15569/P;www.kubusiowa-chatka.pl;NIE
1044;Żłobek;Niepubliczny Żłobek Pierwsze Kroczki;MAŁOPOLSKIE > Powiat Kraków > Kraków-Nowa Huta > Kraków-Nowa Huta os. Na Lotnisku 10;MAŁOPOLSKIE ;Powiat Kraków ;Kraków-Nowa Huta ;Kraków-Nowa Huta os. Na Lotnisku 10;50.0859007;20.0159789;www.zlobekpierwszekroczki.pl;zlobek.pierwszekroczki.lotnisko@gmail.com;515 504 107;29;27;1700.0 zł;30.0 zł;;;18.0 zł;Zniżka - Wielodzietność/Karta Dużej Rodziny: 10.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:30 ;NIE;Centrum Twórczej Edukacji  Marta Młynarczyk, Renata Hajduga-Małysa s.c.;ul.  Huculska 4b lok. 18 30-413 Kraków-Podgórze, Kraków-Podgórze, delegatura;6793151138;367420686;2048/P;www.zlobekpierwszekroczki.pl;NIE
1045;Żłobek;Klub Maluszka Filipek Magdalena Nadzieja;DOLNOŚLĄSKIE > Powiat Wrocław > Wrocław-Fabryczna > Wrocław-Fabryczna ul. Stanisławowska 63a lok. 4;DOLNOŚLĄSKIE ;Powiat Wrocław ;Wrocław-Fabryczna ;Wrocław-Fabryczna ul. Stanisławowska 63a lok. 4;51.097425;16.946472;www.zlobekmikolajek.pl;klubmikolajek@gmail.com;605206101;15;14;430.0 zł;;;;13.5 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:45-17:00 ;NIE;Klub Maluszka Mikołajek Magdalena Nadzieja;;8941985587;22523117;2888/P;www.zlobekmikolajek.pl;NIE
1046;Klub dziecięcy;Świat Według Maluszka, Dominika Izbińska;MAŁOPOLSKIE > Powiat Kraków > Kraków-Podgórze > Kraków-Podgórze ul. Wolska 7D;MAŁOPOLSKIE ;Powiat Kraków ;Kraków-Podgórze ;Kraków-Podgórze ul. Wolska 7D;50.02233589999999;19.9806409;;swiatwedlugmaluszka@gmail.com;516930506;22;22;2200.0 zł;;;;18.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ;NIE;Świat Według Maluszka Dominika Izbińska;;6831905474;121306231;13891/P;www.swiatwedlugmaluszka.pl;NIE
1047;Klub dziecięcy;"Klub Dziecięcy ""Kraina Młodych Odkrywców""";ŁÓDZKIE > Powiat kutnowski > Kutno > Gołębiew Stary, wieś Gołębiew Stary, wieś 1;ŁÓDZKIE ;Powiat kutnowski ;Kutno ;Gołębiew Stary, wieś Gołębiew Stary, wieś 1;52.2263674;19.4039982;www.krainamlodychodkrywcow.pl;kraina.k5@interia.pl;534100025;10;9;600.0 zł;;;400.0 zł;;Zniżka - Rodzeństwo uczęszczające do instytucji: 40.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-17:00 ;NIE;Spółdzielnia Socjalna K-5; 1 99-300 Kutno, Gołębiew Stary, wieś;7752637761;101092685;15571/P;www.krainamlodychodkrywcow.pl;NIE
1048;Żłobek;Żłobek Wesołe Żabki ;MAZOWIECKIE > Powiat sochaczewski > Sochaczew > Sochaczew ul. Aleksandra Sochaczewskiego 5;MAZOWIECKIE ;Powiat sochaczewski ;Sochaczew ;Sochaczew ul. Aleksandra Sochaczewskiego 5;52.2327129;20.248618;;karciolina4@gmail.com;784347306;24;24;900.0 zł;;;;10.0 zł;Zniżka - Sochaczewska Karta Mieszkańca: 33.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ;NIE;Żłobek Wesołe Żabki Karolina Okraska;;8371865922;382823688;15492/P;;NIE
1049;Żłobek;""" PAŁACOWY KĄCIK""";WIELKOPOLSKIE > Powiat poznański > Suchy Las > Biedrusko, wieś ul. 1 Maja 88;WIELKOPOLSKIE ;Powiat poznański ;Suchy Las ;Biedrusko, wieś ul. 1 Maja 88;52.5426262;16.9475206;palacowykacik.pl;zlobek@palacowykacik.pl;782182000;22;22;1200.0 zł;;;;13.6 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-17:00 ;NIE;PHU LIDIA KONARSKA;;5951423518;302544982;15589/P;palacowykacik.pl;NIE
1050;Żłobek;Niepubliczny Żłobek Motylek;WIELKOPOLSKIE > Powiat złotowski > Zakrzewo > Zakrzewo, wieś ul. Edmunda Jana Osmańczyka 34;WIELKOPOLSKIE ;Powiat złotowski ;Zakrzewo ;Zakrzewo, wieś ul. Edmunda Jana Osmańczyka 34;53.4136923;17.1504009;www.motylkowo.com.pl;zlobekmotylek@gmail.com;721312741;20;16;850.0 zł;;;328.0 zł;;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:00 ;TAK;Niepubliczny Żłobek Motylek Dorota Ludewicz;;7671574499;301919279;3500/P;;NIE
1051;Żłobek;Niepubliczny Żłobek Zaczarowany Ołówek Milena Łopatka;KUJAWSKO-POMORSKIE > Powiat Bydgoszcz > Bydgoszcz > Bydgoszcz ul. Morska 8;KUJAWSKO-POMORSKIE ;Powiat Bydgoszcz ;Bydgoszcz ;Bydgoszcz ul. Morska 8;53.1298516;18.055034;https://zaczarowanyolowek.bydgoszcz.pl;biuro.zaczarowanyolowek@onet.pl;575335035;81;72;1380.0 zł;150.0 zł;;;13.0 zł;;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ;TAK;Niepubliczny Żłobek Zaczarowany Ołówek Milena Łopatka;;6972025203;380282308;15591/P;https://zaczarowanyolowek.bydgoszcz.pl;NIE
1052;Żłobek;Niepubliczny Dwujęzyczny Żłobek KIDS&Co.;WIELKOPOLSKIE > Powiat Poznań > Poznań-Grunwald > Poznań-Grunwald ul. Grunwaldzka 186;WIELKOPOLSKIE ;Powiat Poznań ;Poznań-Grunwald ;Poznań-Grunwald ul. Grunwaldzka 186;52.3905034;16.8580029;www.kids-co.pl;katarzyna.sentzel@kids-co.pl;533333208;24;21;2000.0 zł;;;550.0 zł;;Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-18:00 ;NIE;Centrum Rozwoju Dziecka Sp. z o.o.;ul.  Chłodna 51 00-867 Warszawa - Wola, Warszawa - Wola, dzielnica m. st. Warszawy;5252515491;142984383;499/P;www.kids-co.pl;NIE
1053;Żłobek;Taaki Maluch;WIELKOPOLSKIE > Powiat Poznań > Poznań-Grunwald > Poznań-Grunwald ul. Ostrzeszowska 10;WIELKOPOLSKIE ;Powiat Poznań ;Poznań-Grunwald ;Poznań-Grunwald ul. Ostrzeszowska 10;52.3870946;16.851642;www.taakimaluch.pl;info@taakimaluch.pl;695122966;25;21;1223.0 zł;;;;16.5 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 5.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:30-17:00 ;NIE;Karolina Dobska-Mańko Logos Architektura Umysłu;;7792131476;301383376;3149/P;http://www.taakimaluch.pl/;NIE
1054;Żłobek;Pozytywny żłobek w Oleśnicy;DOLNOŚLĄSKIE > Powiat oleśnicki > Oleśnica > Oleśnica ul. Mikołaja Kopernika 14F;DOLNOŚLĄSKIE ;Powiat oleśnicki ;Oleśnica ;Oleśnica ul. Mikołaja Kopernika 14F;51.21213299999999;17.4050094;https://dolnoslaskie.pozytywneinicjatywy.pl/;dolnoslaskie@pozytywneinicjatywy.pl;606630182;50;48;770.0 zł;50.0 zł;;;16.5 zł;Zniżka - Rodzeństwo uczęszczające do instytucji: 24.0% Zniżka - Pracownicy Pozytywne Inicjatywy - Edukacja Sp. z o.o. - zniżka 150 zł: 24.0% ;Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ;TAK;Pozytywne Inicjatywy - Edukacja Sp. z o. o.;ul.  Przebendowskiego 12 84-100 Puck, Puck, miasto;5871689332;221092650;12985/P;http://www.pozytywneinicjatywy.pl;NIE
