Typ instytucji;Nazwa;Lokalizacja instytucji;Adress WWW żłobka/klubu;E-mail żłobka/klubu;Telefon żłobka/klubu;Liczba miejsc;Liczba dzieci zapisanych;Opłata miesięczna - podstawowa opłata ponoszona przez rodziców za pobyt dziecka (bez zniżek i bez wyżywienia);stawka za pobyt dziecka przekraczający 10 godzin dziennie - opłata godzinowa;Opłata godzinowa - podstawowa opłata ponoszona przez rodziców za pobyt dziecka (bez zniżek i bez wyżywienia);Opłata za wyżywienie - miesięczna;Opłata za wyżywienie - dzienna;Zniżki;Godziny otwarcia;Czy żłobek/klub jest dostosowany do potrzeb dzieci niepełnosprawnych lub wymagających szczególnej opieki?;Podmiot prowadzący - nazwa;Podmiot prowadzacy - adres;Podmiot prowadzący - NIP;Podmiot prowadzący - REGON;Podmiot prowadzący - numery pozycji rejestru;Adres WWW podmiotu prowadzącego żłobek/klub;Czy podmiot prowadzący zawiesił działalność gospodarczą?
"Klub dziecięcy";"Urząd Gminy Bolesławiec (W) (bolesławiecki)";"DOLNOŚLĄSKIE > Powiat bolesławiecki > Bolesławiec > Łaziska Łaziska 30";;"z.slobodzian@gminaboleslawiec.pl";"691970824";"24";"15";"1200.0 zł";;;;"13.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 17.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ";"NIE";"KRAINA MALUCHA  Joanna Kosior";;"6121327648";"022458153";"14181/P";;"NIE"
"Żłobek";"Akademia Maluszka";"DOLNOŚLĄSKIE > Powiat Legnica > Legnica > Legnica ul. Aleksandra Kamińskiego 19 i 21";;"ama.legnica@wp.pl";"883400885";"40";"31";"570.0 zł";;;;"10.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-17:00 ";"NIE";"Akademia Młodego Artysty Sylwia Lamek";;"6912211600";"022170854";"2302/P";;"NIE"
"Żłobek";"Żłobek Talenciaki";"LUBELSKIE > Powiat Lublin > Lublin > Lublin, miasto ul. Królowej Bony 8";"zlobektalenciakilublin.pl";"zlobektalenciakilublin@gmail.com";"668042903";"25";"25";"1490.0 zł";;;;"13.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:45-17:00 ";"NIE";"PSYCHOLOG MAGDALENA PRAŻMO PSYCHOTERAPIA I REGRESING ®";;"7121587597";"363759790";"12199/P";"zlobektalenciakilublin.pl";"NIE"
"Klub dziecięcy";"Klub dziecięcy Kreatywny Maluch";"ZACHODNIOPOMORSKIE > Powiat stargardzki > Stargard Szczeciński > Stargard, miasto ul. Bolesława Limanowskiego 32";;"gschudzik@interia.pl";"509591967";"25";"25";"1100.0 zł";;;;;"Zniżka - Rodzeństwo uczęszczające do Klubu Dziecięcego : 34.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-17:00 ";"TAK";"Grażyna Chudzik";"ul. Bolesława Limanowskiego 32 73-110 Stargard, Stargard, miasto";"8541124551";"320251094";"14816/P";;"NIE"
"Żłobek";"Żłobek Miejski w Węgrowie";"MAZOWIECKIE > Powiat węgrowski > Węgrów > Węgrów, miasto ul. Karola Szamoty 33";"www.zlobek.wegrow.pl";"sekretariat@zlobek.wegrow.com.pl";"25-308-11-88";"64";"64";"400.0 zł";"20.0 zł";;;"15.0 zł";"Zniżka - Wielodzietność/Karta Dużej Rodziny: 25.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:40-16:30 ";"TAK";"Miasto Węgrów";"rynek Rynek Mariacki 16 07-100 Węgrów, Węgrów, miasto";"8241694882";"711582233";"14862/P";"www.wegrow.com.pl";"NIE"
"Żłobek";"Niepubliczny Żłobek Aktywne Maluchy ";"ŁÓDZKIE > Powiat bełchatowski > Bełchatów > Bełchatów ul. Armii Krajowej 2";"michal.mekarski89@gmail.com";"michal.mekarski89@gmail.com";"603441093";"20";"20";"730.0 zł";"830.0 zł";;;"11.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-17:00 ";"NIE";"AKTYWNE MALUCHY MICHAŁ MĘKARSKI";;"7692150095";"362219413";"14818/P";"www.aktywne-maluchy.pl";"NIE"
"Klub dziecięcy";"Dziecięcy Zakątek";"MAŁOPOLSKIE > Powiat Kraków > Kraków-Podgórze > Kraków-Podgórze ul. Podlesie 5 lok. 35";;"klubdzieciecyzakatek@gmail.com";"693916441";"15";"15";"2100.0 zł";"50.0 zł";;;"19.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"Jarosław Konopek Dziecięcy Zakątek";;"6791023672";"350866889";"14863/P";;"NIE"
"Żłobek";"Żłobek ""Mali odkrywcy""";"DOLNOŚLĄSKIE > Powiat oleśnicki > Oleśnica > Oleśnica ul. Wiejska 20";"www.maliodkrywcy.net";"biuro@maliodkrywcy.net";"730 137 137";"85";"50";"970.0 zł";;;;"15.5 zł";"Zniżka - Wielodzietność/Karta Dużej Rodziny: 5.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 5.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"TAK";"BSS spółka z ograniczona odpowiedzialnością";"ul.  Wiejska 20 56-400 Oleśnica, Oleśnica, miasto";"9112024329";"368695445";"14864/P";;"NIE"
"Żłobek";"Żłobek Akademia Malucha";"MAZOWIECKIE > Powiat Warszawa > Warszawa - Ursus > Warszawa - Ursus, dzielnica m. st. Warszawy ul. gen. Kazimierza Sosnkowskiego 17";;"kontakt@akademiamaluchaursus.pl";"660780602";"77";"77";"1200.0 zł";"20.0 zł";;;"5.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:30 ";"NIE";"Akademia Malucha Sp z o.o.";"ul.  Solec 81B lok. A-61 00-382 WARSZAWA - ŚRÓDMIEŚCIE, Warszawa - Śródmieście, dzielnica m. st. Warszawy";"5223078220";"366032605";"14166/P";"www.akademiamaluchaursus.pl";"NIE"
"Żłobek";"ŻŁOBEK PRZYTULAKI";"POMORSKIE > Powiat gdański > Pruszcz Gdański > Pruszcz Gdański ul. Obrońców Pokoju 22";;"zlobek.przytulaki@gmail.com";"518459686";"20";"12";"1016.0 zł";;;;"11.5 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ";"NIE";"Marlena Dawidowska Żłobek ""Przytulaki""";;"6040211611";"382705902";"14865/P";;"NIE"
"Żłobek";"Niepubliczny Żłobek AKADEMIA UŚMIECHU";"WIELKOPOLSKIE > Powiat ostrowski > Odolanów > Odolanów ul. Chwaliszewska 10";;"budan@vp.pl";"535036212";"29";"26";"500.0 zł";;;"200.0 zł";;"Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ";"TAK";"Usługi Ogólnobudowlane ""BUDAN"" Andrzej Kwaśniewski";;"9161278260";"021429557";"7064/P";;"NIE"
"Żłobek";"Żłobek Jadwinia";"MAZOWIECKIE > Powiat wyszkowski > Wyszków > Lucynów Duży ul. Jana Kochanowskiego 70C";"www.jadwinia.edu.pl";"zlobek.jadwinia@gmail.com";"506873194";"16";"5";"1200.0 zł";;;;"15.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:45-16:00 ";"TAK";"Maria Michalska Gabinet Psychologiczno-Logopedyczny";;"1250270899";"011717206";"14819/P";"www.jadwinia.edu.pl";"NIE"
"Żłobek";"Żłobek Creative Mind";"MAZOWIECKIE > Powiat piaseczyński > Piaseczno > Piaseczno ul. Żeromskiego 13";"www.creativemindschool.com";"biuro.creativemind@gmail.com";"508237723";"10";"10";"1000.0 zł";;;;"15.5 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% Zniżka - Karta Dużej Rodziny - 5% od pierwszego dziecka i 10% od kolejnych: 5.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"TAK";"Centrum Creative Mind School Damian Szewczyk";;"1231145609";"367911585";"14881/P";;"NIE"
"Żłobek";"Niepubliczny Żłobek EmiLudki";"WIELKOPOLSKIE > Powiat czarnkowsko-trzcianecki > Trzcianka > Trzcianka ul. Rzemieślnicza 11";"www.emiludki.com";"emiludki@op.pl";"609887199";"24";"24";"1500.0 zł";"15.0 zł";;;"18.5 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-16:00 ";"NIE";"Niepubliczny Żłobek EmiLudki Emilia Adamczyk";;"7631811378";"382746835";"14820/P";"www.emiludki@op.pl";"NIE"
"Żłobek";"Żłobek Kangurek";"MAZOWIECKIE > Powiat Warszawa > Warszawa - Białołęka > Warszawa - Białołęka, dzielnica m. st. Warszawy ul.  Marywilska 60 lok. U3";"kangurek.edu.pl";"kangurek@kangurek.edu.pl";"506787968";"30";"30";"0.0 zł";"0.0 zł";;;"15.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 0.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-18:00 ";"NIE";"Kangurek Izabela Moroz";;"8481749387";"280373468";"2393/P";"kangurek.edu.pl";"NIE"
"Żłobek";"Językowo-Sportowy Niepubliczny Żłobek ""Mali Giganci""";"MAZOWIECKIE > Powiat płoński > Płońsk > Płońsk ul. Szkolna 89 lok. 1";;"IKRAW78@ONET.EU";"530441405";"25";"17";"1400.0 zł";;;"100.0 zł";;"Zniżka - Rodzeństwo uczęszczające do instytucji: 50.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ";"TAK";"Monika Hartman ";;"5671746870";"146570804";"13789/P";"www.maligiganciplonsk.pl";"NIE"
"Żłobek";"Językowy Żłobek Niepubliczny ""Księga Przygód"" w Opolu";"OPOLSKIE > Powiat Opole > Opole > Opole ul. Józefa von Eichendorffa 3";"www.ksiegaprzygod.pl";"ksiegaprzygod.zlobek@onet.pl";"+48 690256041";"62";"62";"936.0 zł";"40.0 zł";;;"14.5 zł";"Zniżka - Wielodzietność/Karta Dużej Rodziny: 30.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% Zniżka - Rabat dyrektora: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"TAK";"ALTEREDU SPÓŁKA JAWNA";"ul. Józefa von Eichendorffa 3 45-590 Opole, Opole, miasto";"7543121119";"364672654";"14883/P";"www.ksiegaprzygod.pl";"NIE"
"Żłobek";"Malinowy Złobek-filia";"MAZOWIECKIE > Powiat Warszawa > Warszawa - Białołęka > Warszawa - Białołęka, dzielnica m. st. Warszawy ul.  Płochocińska 84B";"malinoweprzedszkole.pl";"info@malinoweprzedszkole.pl";"22 4999070";"93";"93";"1400.0 zł";;;;"20.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"TAK";"Krystyna Owczarek, Juliusz Owczarek s.c.";"ul.  Płochocińska 84B 03-044 Warszawa - Białołęka, Warszawa - Białołęka, dzielnica m. st. Warszawy";"5242701275";"142254450";"1126/P";"www.malinoweprzedszkole.pl/index.php/kontakt";"NIE"
"Żłobek";"Żłobek Ala Koala";"MAZOWIECKIE > Powiat Warszawa > Warszawa - Mokotów > Warszawa - Mokotów, dzielnica m. st. Warszawy ul.  Bergamotki 4 lok. U01";"www.alakoala.pl";"zlobekalakoala@gmail.com";"509-191-644";"30";"30";"2500.0 zł";"50.0 zł";;;"21.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 5.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:30-17:30 ";"NIE";"Żłobek Ala Koala Raźniak Spółka Jawna";"ul.  Bergamotki 4 lok. U01 02-765 Warszawa - Mokotów, Warszawa - Mokotów, dzielnica m. st. Warszawy";"5252762539";"381230259";"14866/P";"alakoala.pl";"NIE"
"Żłobek";"Żłobek Tulimisie Joanna Balcerek";"WIELKOPOLSKIE > Powiat Poznań > Poznań-Grunwald > Poznań-Grunwald ul. Marcelińska 100 lok. 205";"www.zlobektulimisie.pl";"kontakt@zlobektulimisie.pl";"665127550";"19";"19";"2000.0 zł";;;;"18.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ";"TAK";"Żłobek Tulimisie Joanna Balcerek";;"7792397872";"382809464";"14867/P";"www.zlobektulimisie.pl";"NIE"
"Żłobek";"Żłobek Muchomorki Natalia Wieczorek";"MAZOWIECKIE > Powiat Warszawa > Warszawa - Wilanów > Wilanów ul. Adama Branickiego 14 lok. 25";;"biuro@zlobekmuchomorki.pl";"730818661";"15";"17";"1750.0 zł";;;;"18.5 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-18:00 ";"NIE";"Żłobek Muchomorki Natalia Wieczorek";;"9512475981";"382194689";"14683/P";;"NIE"
"Żłobek";"Żłobek Tru Tu Tu";"ŚLĄSKIE > Powiat Mysłowice > Mysłowice > Mysłowice ul. ks. Norberta Bończyka 36a";"www.zlobektrututu.pl";"biuro@zlobektrututu.pl";"509086084";"45";"37";"1350.0 zł";"50.0 zł";;;"17.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-17:00 ";"NIE";"Robson Sonia Konowalska - Mrozik";;"2220744873";"241026240";"14905/P";"brak";"NIE"
"Żłobek";"Żłobek i Przedszkole ""Tęczowe Motylki""";"WIELKOPOLSKIE > Powiat gnieźnieński > Trzemeszno > Trzemeszno ul. Foluska 3";"m.facebook.com/żłobek i przedszkole tęczowe motylki";"teczowemotylki@o2.pl";"660761231";"20";"7";"950.0 zł";"30.0 zł";;;"16.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ";"NIE";"Hanna Pitkiewicz";;"7841488989";"380108964";"14906/P";"m.facebook.com/żłobek i przedszkole tęczowe motylki";"NIE"
"Żłobek";"Pozytywny Żłobek Pozytywka";"POMORSKIE > Powiat Gdańsk > Gdańsk > Gdańsk ul. Jana Augustyńskiego 1";"http://www.pozytywneinicjatywy.pl/index/3/view/1320";"zlobek.augustynskiego@pozytywneinicjatywy.pl";"735207817";"25";"20";"1400.0 zł";"50.0 zł";;;"14.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:45-16:45 ";"TAK";"Fundacja Pozytywne Inicjatywy";"ul.  Przebendowskiego 12 84-100 Puck, Puck, miasto";"5871698532";"221581359";"2274/P";"www.pozytywneinicjatywy.pl";"NIE"
"Klub dziecięcy";"Klub Malucha U Niani Ani";"DOLNOŚLĄSKIE > Powiat wrocławski > Siechnice > Iwiny ul. św. Jacka 171";"unianiani.pl";"kontakt@unianiaani.pl";"695404844";"23";"14";"1400.0 zł";"60.0 zł";;;"21.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ";"NIE";"Klub Malucha u Niani Ani S.C.";"ul. św. Jacka 171 52-116 Siechnice, Iwiny, wieś";"8961586689";"383306446";"14909/P";"unianiani.pl";"NIE"
"Żłobek";"Niepubliczny Żłobek ""Akademia Kolorowych Podróży""";"ŚLĄSKIE > Powiat Sosnowiec > Sosnowiec > Sosnowiec ul. Partyzantów 11";"www.przedszkoleakp.pl/zlobek";"zlobek@przedszkoleakp.pl";"694242870";"30";"16";"1350.0 zł";"10.0 zł";;;"16.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 15.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ";"TAK";"Maciej Świstek FIRMA HANDLOWO-USŁUGOWA MIXLINE";;"6443370124";"241167897";"14910/P";"www.przedszkoleakp.pl/zlobek";"NIE"
"Żłobek";"Żłobek Niepubliczny Korona w Murowańcu";"KUJAWSKO-POMORSKIE > Powiat bydgoski > Białe Błota > Murowaniec ul. Kolibra 2";"www.przedszkolekorona.pl";"kontakt@przedszkolekorona.pl";"781818122";"17";"17";"1400.0 zł";;;;"11.0 zł";"Zniżka - Wielodzietność/Karta Dużej Rodziny: 10.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: ";"TAK";"Korona Inwestycje Sp. z o.o.";"ul.  Kolibra 2 86-005 Białe Błota, Murowaniec, wieś";"5542981534";"384980430";"14911/P";"www.przedszkolekorona.pl";"NIE"
"Klub dziecięcy";"KLUB DZIECIĘCY ZENITEK";"KUJAWSKO-POMORSKIE > Powiat Włocławek > Włocławek > Włocławek, miasto ul.  Gałczyńskiego 15 lok. a";"www.cezenit.pl";"cezenit@op.pl";"573981454";"20";"0";"900.0 zł";;;;"15.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ";"NIE";"Centrum Edukacji i Kultury ""Zenit"" Ryszard Girczyc";;"8880000403";"005878339";"846/P";"www.cezenit.pl";"NIE"
"Klub dziecięcy";"Klub Malucha Kotek Mamrotek";"POMORSKIE > Powiat Gdańsk > Gdańsk > Gdańsk ul. Łańcucka 2a";"www.kotekmamrotek.pl";"kotekmamrotek1@gmail.com";"504904016";"20";"20";"1350.0 zł";"70.0 zł";;;"15.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"NIE";"Punkt opieki Kotek Mamrotek Martyna Klaus-Kowalska";;"6040031642";"361330120";"12430/P";"kotekmamrotek.pl";"NIE"
"Żłobek";"Żłobek Lemurek";"MAZOWIECKIE > Powiat pruszkowski > Pruszków > Pruszków ul. Emancypantek 4";"www.lemurek.waw.pl";"biuro.lemurek@gmail.com";"698-010-513";"22";"21";"1200.0 zł";;;;"21.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-18:00 ";"NIE";"Daria Szymańska";;"5342329680";"141708988";"3152/P";"www.lemurek.waw.pl";"NIE"
"Żłobek";"Niepubliczny Żłobek ""BAMBINO""";"KUJAWSKO-POMORSKIE > Powiat Grudziądz > Grudziądz > Grudziądz ul. Jackowskiego 43 lok. 42";"bambino.edu.pl";"bambino_grudziadz@wp.pl";"606305255";"38";"22";"1150.0 zł";"30.0 zł";;;"10.0 zł";"Zniżka - Wielodzietność/Karta Dużej Rodziny: 66.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 21.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ";"NIE";"AsiloTomasz Jenda";;"8761155631";"871181790";"14908/P";;"NIE"
"Żłobek";"Żłobek Barwy Dzieciństwa w Świdniku";"LUBELSKIE > Powiat świdnicki > Świdnik > Świdnik, miasto ul. Stanisława Wyspiańskiego 7 lok. -";"zlobkiklanza.pl";"lublin@klanza.org.pl";"504049581";"21";"13";"1530.0 zł";"50.0 zł";;;"12.0 zł";"Zniżka - Rodzina Trzy Plus, rodzeństwo uczęszczające do żłobka- zwolnienie z opłaty wpisowego 250 zł.: 100.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"Polskie Stowarzyszenie Pedagogów i Animatorów KLANZA Lublin";"ul.  Kaprysowa 2 20-843 Lublin, Lublin, miasto";"9461183262";"430465878";"3285/P";"zlobkiklanza.pl";"NIE"
"Żłobek";"Żłobek Re-Re-Kum-Kum";"ŚWIĘTOKRZYSKIE > Powiat starachowicki > Starachowice > Starachowice ul. Kościelna 7";"www.re-re-kum-kum.pl";"re-re-kum-kum@wp.pl";"510094775";"64";"50";"980.0 zł";;;;"17.0 zł";"Zniżka - Wielodzietność/Karta Dużej Rodziny: 10.0% Zniżka - Dziecko niepełnosprawne lub wymagające szczególnej opieki: 20.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-17:00 ";"TAK";"Klub Malucha Re-Re-Kum-Kum s.c.";"ul. Stanisława Staszica 25 27-200 Starachowice, Starachowice, miasto";"6642135087";"365445096";"2087/P";"www.re-re-kum-kum.pl";"NIE"
"Żłobek";"Prywatne Przedszkole i Żłobek MALI ODKRYWCY Sp. z o.o.";"MAŁOPOLSKIE > Powiat krakowski > Jerzmanowice-Przeginia > Jerzmanowice ul. Ojcowska 9";"http://maliodkrywcyjerzmanowice.pl/";"ppmaliodkrywcy@interia.pl";"606 253 153";"40";"24";"800.0 zł";;;;"19.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"Prywatne Przedszkole i Żłobek MALI ODKRYWCY Sp. z o.o.";"ul.  Ojcowska 9 32-048 Jerzmanowice-Przeginia, Jerzmanowice, wieś";"5130242000";"362716347";"14889/P";"http://maliodkrywcyjerzmanowice.pl/";"NIE"
"Żłobek";"Żłobek Niepubliczny ""Zielony Zakątek"" w Suwałkach";"PODLASKIE > Powiat Suwałki > Suwałki > Suwałki ul. Sportowa 10";;"sekretariat.zielony-zakatek@wp.pl";"508203555";"47";"39";"900.0 zł";;;;"18.5 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-17:00 ";"NIE";"Aneta Winnik";;"8441936077";"200118072";"14921/P";;"NIE"
"Żłobek";"Niepubliczny Żłobek Ekoludki 2";"WIELKOPOLSKIE > Powiat złotowski > Złotów > Złotów ul. Wincentego Witosa 57";"https://ekoludkizlotow.wixsite.com/ekoludki/ekoludki-2";"biuro@ekoludki.pl";"515633055";"16";"0";"790.0 zł";"10.0 zł";;;"16.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 6.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"TAK";"Patryk Kowalski";;"7671651018";"367368885";"3326/P";;"NIE"
"Żłobek";"Żłobek Wesołe Misie w Wołczynie";"OPOLSKIE > Powiat kluczborski > Wołczyn > Wołczyn ul. Sienkiewicza 1";"http://zlobekwolczyn.pl";"kontakt@zlobekwolczyn.pl";"774188003";"46";"45";"468.0 zł";"40.0 zł";;;"10.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 50.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ";"TAK";"Gmina Wołczyn";"ul. Dworcowa 1 46-250 Wołczyn";"7511750349";"531413030";"14912/P";"bip.wolczyn.pl/";"NIE"
"Żłobek";"Niepubliczny Żłobek ,, Bajkosfera 2''";"MAŁOPOLSKIE > Powiat Kraków > Kraków-Podgórze > Kraków-Podgórze ul. Ślusarska 5 lok. L2";;"bajkosfera@interia.pl";"790441005";"25";"24";"1500.0 zł";"30.0 zł";;;"18.0 zł";"Zniżka - Wielodzietność/Karta Dużej Rodziny: 10.0% Zniżka - Samotne wychowanie dziecka: 10.0% Zniżka - Dziecko niepełnosprawne lub wymagające szczególnej opieki: 10.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ";"NIE";"Barbara Wierzbowska";;"9441268765";"351203665";"13694/P";;"NIE"
"Żłobek";"Niepubliczny Żłobek Beztroskie Maluchy Szewczyk i Dąbrowska s.c.";"MAZOWIECKIE > Powiat Warszawa > Warszawa - Praga-Południe > Warszawa - Praga-Południe, dzielnica m. st. Warszawy ul.  Łukowska 1 lok. U10";"www.beztroskiemaluchy.pl";"kontakt@beztroskiemaluchy.pl";"501025195, 505899820";"18";"18";"1450.0 zł";;;;"14.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:15-17:15 ";"NIE";"Niepubliczny Żłobek Beztroskie Maluchy Gawryszewska i Dąbrowska s.c.";"ul.  Łukowska 1 lok. U10 04-113 Warszawa - Praga-Południe, Warszawa - Praga-Południe, dzielnica m. st. Warszawy";"9522188639";"381701084";"14923/P";"www.beztroskiemaluchy.pl";"NIE"
"Żłobek";"ŻŁOBEK JEŻYKOWO";"MAŁOPOLSKIE > Powiat krakowski > Krzeszowice > Krzeszowice ul. dr. Ignacego Wróbla 3";"www.przedszkolejezykowo.pl";"przedszkole@radosnenutki.pl";"693105726";"29";"17";"1200.0 zł";;;;"19.5 zł";"Zniżka - ustalane indywidualnie do: 40.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ";"TAK";"Fundacja Rozwoju Oświaty Wychowania i Sportu FROWIS";"ul.  Leśna 2a 32-080 Zabierzów, Zabierzów, wieś";"6751367141";"120474110";"480/P";;"NIE"
"Żłobek";"Niepubliczne Przedszkole i Żłobek Mały Odkrywca";"MAZOWIECKIE > Powiat Warszawa > Warszawa - Bielany > Warszawa - Bielany, dzielnica m. st. Warszawy ul. Marii Dąbrowskiej 15";"www.malyodkrywca.com";"przedszkole@malyodkrywca.com";"510410510";"15";;"1350.0 zł";"50.0 zł";;;"16.0 zł";"Zniżka - Wielodzietność/Karta Dużej Rodziny: 5.0% Zniżka - Samotne wychowanie dziecka: 5.0% Zniżka - Dziecko niepełnosprawne lub wymagające szczególnej opieki: 50.0% Zniżka - Dochód rodzinny: 5.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek, Sobota, Niedziela 07:00-18:00 ";"TAK";"Przedszkole Niepubliczne ""Mały Odkrywca"" Marek Łysakowski, Sebastian Łysakowski S.C.";"ul. Marii Dąbrowskiej 15 01-903 Warszawa - Bielany, Warszawa - Bielany, dzielnica m. st. Warszawy";"1182127898";"146326501";"14925/P";"www.malyodkrywca.com";"NIE"
"Żłobek";"Gminny Żłobek w Tuchomiu";"POMORSKIE > Powiat bytowski > Tuchomie > Tuchomie ul. ks. Jana Hinza 1";;"zlobek@tuchomie.pl";"533 334 294";"25";"22";"750.0 zł";"30.0 zł";;;"22.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ";"TAK";"Gmina Tuchomie";"ul. Jana III Sobieskiego 16 77-133 Tuchomie";"8421663742";"770979594";"14926/P";"www.tuchomie.pl";"NIE"
"Żłobek";"Niepubliczny Żłobek Dom Rozwoju Malucha Tuli Luli 2";"WARMIŃSKO-MAZURSKIE > Powiat Olsztyn > Olsztyn > Olsztyn al. Aleja Wojska Polskiego 70a";"www.zlobek-przedszkole.pl";"kontakt@zlobek-przedszkole.pl";"664-229-770";"24";"24";"1330.0 zł";;;;"18.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 6.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"TAK";"Hanna Wasiak Dom Rozwoju Malucha Promyczek";;"7393466531";"281415720";"1058/P";"www.zlobek-przedszkole.pl";"NIE"
