Typ instytucji;Nazwa;Lokalizacja instytucji;Adress WWW żłobka/klubu;E-mail żłobka/klubu;Telefon żłobka/klubu;Liczba miejsc;Liczba dzieci zapisanych;Opłata miesięczna - podstawowa opłata ponoszona przez rodziców za pobyt dziecka (bez zniżek i bez wyżywienia);stawka za pobyt dziecka przekraczający 10 godzin dziennie - opłata godzinowa;Opłata godzinowa - podstawowa opłata ponoszona przez rodziców za pobyt dziecka (bez zniżek i bez wyżywienia);Opłata za wyżywienie - miesięczna;Opłata za wyżywienie - dzienna;Zniżki;Godziny otwarcia;Czy żłobek/klub jest dostosowany do potrzeb dzieci niepełnosprawnych lub wymagających szczególnej opieki?;Podmiot prowadzący - nazwa;Podmiot prowadzacy - adres;Podmiot prowadzący - NIP;Podmiot prowadzący - REGON;Podmiot prowadzący - numery pozycji rejestru;Adres WWW podmiotu prowadzącego żłobek/klub;Czy podmiot prowadzący zawiesił działalność gospodarczą?
"Żłobek";"Niepubliczny Żłobek Bajkowa Przystań";"LUBELSKIE > Powiat hrubieszowski > Hrubieszów > Hrubieszów, miasto ul.  Targowa 24";"brak";"katarzyna.olszacka@onet.pl";"609374150";"28";"24";"650.0 zł";;;;"15.0 zł";"Zniżka - Samotne wychowanie dziecka: 10.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ";"NIE";"SPÓŁDZIELNIA SOCJALNA SPERARE";"ul.  Targowa 24 22-500 Hrubieszów, Hrubieszów, miasto";"9191832264";"383868842";"17537/P";"brak";"NIE"
"Żłobek";"BeBaby żłobek_L.Rydygiera 8 Kraków";"MAŁOPOLSKIE > Powiat Kraków > Kraków-Podgórze > Kraków-Podgórze, delegatura ul. Ludwika Rydygiera 8 lok. 01";"www.bebabyzlobek.pl";"rydygiera8@bebabyzlobek.pl";"664918283";"52";"41";"2005.0 zł";"50.0 zł";;;"23.0 zł";"Zniżka - Wielodzietność/Karta Dużej Rodziny: 10.0% Zniżka - Samotne wychowanie dziecka: 20.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:30 ";"TAK";"Ewa Kruszyńska BeBaby KRW";;"6762531294";"367508990";"2318/P";"www.bebabyzlobek.pl";"NIE"
"Żłobek";"EDU ŻŁOBEK - Żłobek Edukacyjny";"ŚLĄSKIE > Powiat Tychy > Tychy > Tychy, miasto ul.  Arctowskiego 3A";;"sekretariatiqedu@gmail.com";"504515858";"21";"21";"1100.0 zł";;;;"16.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"TAK";"IQ EDU NON PROFIT Sp z o.o.";"al.  Niepodległości 32 43-100 Tychy, Tychy, miasto";"6462977933";"383836776";"18350/P";;"NIE"
"Żłobek";"Żłobek Niepubliczny ""Koliberek""";"ŁÓDZKIE > Powiat Łódź > Łódź-Górna > Łódź-Górna, delegatura ul.  Starorudzka 10b";"www.przedszkole-koliberek.pl";"biuro@przedszkole-koliberek.pl";"600294206";"36";"36";"1350.0 zł";;;;"16.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"TAK";"Klub Malucha ""Koliberek"" - Barbara Guzek";;"7272612531";"100579244";"1703/P";"www.przedszkole-koliberek.pl";"NIE"
"Klub dziecięcy";"Klub Dziecięcy A-KuKu";"POMORSKIE > Powiat Gdańsk > Gdańsk > Gdańsk, miasto ul. Ludwika Beethovena 125";"zlobek@a-kuku.com";"beethovena@a-kuku.com";"603800917";"25";"22";"1600.0 zł";"50.0 zł";;;"23.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ";"NIE";"A-KuKu Bis Sp. z o.o.";"ul.  Warszawska 100 lok. U3 80-180 Gdańsk, Gdańsk, miasto";"5833470494";"524412760";"345/P";"www.a-kuku.com";"NIE"
"Żłobek";"Żłobek ""Radosne skrzaty""";"MAŁOPOLSKIE > Powiat Kraków > Kraków-Nowa Huta > Kraków-Nowa Huta, delegatura ul. Józefa Sawy-Calińskiego 13";"radosneskrzaty.pl";"cezary@e-cezar.pl";"693616661";"50";"50";"1900.0 zł";;;;"18.0 zł";"Zniżka - Kwota czesnego pomniejszona jest o dofinansowanie z Gminy Kraków 3,50 zł za godzinę pobytu dziecka oraz dofinansowanie z programu 400+ na pierwsze dziecko.: 42.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:45-17:00 ";"TAK";"Cezary Schiff";;"6780059821";"350630661";"2032/P";"radosnenutki.pl";"NIE"
"Żłobek";"Niepubliczny Tęczowy Żłobek";"ŁÓDZKIE > Powiat poddębicki > Poddębice > Poddębice, miasto ul.  Łęczycka 5A";"https://przedszkole-teczowe.pl";"a.plusa@g.pl";"691519555";"30";"24";"800.0 zł";;;;"14.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"TAK";"Niepubliczne Tęczowe Przedszkole Agnieszka Płusa";;"8281072201";"101289732";"1700/P";"www.przedszkole-teczowe.pl";"NIE"
"Żłobek";"Żłobek Nr 4 SASANKA ";"PODKARPACKIE > Powiat Rzeszów > Rzeszów > Rzeszów, miasto ul.  Architektów 4 lok. U6";"www.mzz.itl.pl";"zlobek4@mzz.resman.pl";"177481138";"129";"131";"551.0 zł";"42.0 zł";;;"9.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 50.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-17:00 ";"NIE";"GMINA MIASTO RZESZÓW";"ul.  Rynek 1 35-064 Rzeszów, Rzeszów, miasto";"8130008613";"690581353";"225/P";"www.erzeszow.pl";"NIE"
"Klub dziecięcy";"Klub Dziecięcy A-KuKu";"POMORSKIE > Powiat Gdynia > Gdynia > Gdynia, miasto ul.  Strzelców 1 lok. u2";"a-kuku.com";"strzelcow@a-kuku.com";"603800917";"25";"18";"1500.0 zł";"50.0 zł";;;"23.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ";"NIE";"A-KuKu Bis Sp. z o.o.";"ul.  Warszawska 100 lok. U3 80-180 Gdańsk, Gdańsk, miasto";"5833470494";"524412760";"345/P";"www.a-kuku.com";"NIE"
"Żłobek";"Gminny Żłobek ""BAJECZKOWO"" w Kroczycach";"ŚLĄSKIE > Powiat zawierciański > Kroczyce > Kroczyce, wieś ul.  Kościuszki 29";;"zlobek@kroczyce.pl";"343337455";"30";"30";"636.3 zł";"30.0 zł";;;"9.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 25.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ";"NIE";"Gmina Kroczyce";"ul.  Batalionów Chłopskich 29 42-425 Kroczyce, Kroczyce, wieś";"6492289505";"151398729";"19168/P";"kroczyce.pl";"NIE"
"Klub dziecięcy";"Urząd Gminy Szczytniki (kaliski)";"WIELKOPOLSKIE > Powiat kaliski > Szczytniki > Marchwacz, osada Marchwacz, osada 27";;"aleksandra.cebulska@szczytniki.ug.gov.pl";"627625001";"24";"22";"800.0 zł";;;;"14.5 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-16:00 ";"NIE";"Gmina Szczytniki";" 139 62-865 Szczytniki, Szczytniki, wieś";"9680856933";"250855021";"19248/P";"http://szczytniki.ug.gov.pl/";"NIE"
"Żłobek";" Niepubliczny Żłobek Mini -Mali";"WIELKOPOLSKIE > Powiat Poznań > Poznań-Jeżyce > Poznań-Jeżyce, delegatura ul.  Strzeszyńska 118";"www.mini-mali.pl";"kontakt@mini-mali.pl";"697555336";"20";"20";"1709.0 zł";;;;"17.5 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"KTM Konrad Mofina";;"9721172730";"364565214";"19288/P";;"NIE"
"Żłobek";"Samorządowy Żłobek w Wierzbnie";"MAŁOPOLSKIE > Powiat proszowicki > Koniusza > Wierzbno, wieś Wierzbno, wieś 3";;"zlobekwierzbno@gmail.com";"12386910145";"52";"53";"800.0 zł";"20.0 zł";;;"18.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 25.0% Zniżka - Rodzeństwo uczęszczające do instytucji 3 dzieci lub więcej: 50.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ";"TAK";"Gmina Koniusza";" 55 32-104 KONIUSZA, Koniusza, wieś";"6821773580";"351555051";"19608/P";"www.koniusza.pl";"NIE"
"Żłobek";"Żłobek Bam-Bino";"DOLNOŚLĄSKIE > Powiat Wrocław > Wrocław-Krzyki > Wrocław-Krzyki, delegatura ul.  Nefrytowa 19";"www.bambino-wroc.pl";"skrzypniak.bambino@gmail.com";"795533571";"18";"14";"1600.0 zł";"25.0 zł";;;"18.5 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ";"NIE";"Katarzyna Skrzypniak Żłobek Bam-Bino";"ul.  Nefrytowa 19 52-215 Wrocław-Krzyki, Wrocław-Krzyki, delegatura";"8992887802";"387359422";"19774/P";"www.bambino.wroc.pl";"NIE"
"Żłobek";"Żłobek Uśmiechnięty";"MAZOWIECKIE > Powiat płocki > Wyszogród > Wyszogród, miasto ul.  Kościelna 1";;"zlobekusmiechniety@fep.edu.pl";"668824201";"25";"17";"864.0 zł";;;;"18.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"Fundacja Edukacji Przedszkolnej";"pl. św. Macieja 2 50-244 Wrocław-Śródmieście, Wrocław-Śródmieście, delegatura";"8982112726";"020545528";"11941/P";"brak";"NIE"
"Żłobek";"GMINNY ŻŁOBEK W DZIEMIANACH";"POMORSKIE > Powiat kościerski > Dziemiany > Dziemiany, wieś ul.  Wyzwolenia 20";;"zlobek@dziemiany.pl";"586880022";"22";"16";"600.0 zł";"25.0 zł";;;"10.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-16:00 ";"TAK";"GMINA DZIEMIANY";"ul. 8 Marca 3 83-425 , Dziemiany, wieś";"5911567754";"191675132";"19826/P";;"NIE"
"Żłobek";"Niepubliczny Żłobek A-KuKu ";"POMORSKIE > Powiat Gdańsk > Gdańsk > Gdańsk, miasto ul.  Stężycka 64 lok. 7";"zlobek@a-kuku.com";"stezycka@a-kuku.com";"603800917";"35";"28";"1600.0 zł";"50.0 zł";;;"23.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ";"NIE";"A-KuKu Bis Sp. z o.o.";"ul.  Warszawska 100 lok. U3 80-180 Gdańsk, Gdańsk, miasto";"5833470494";"524412760";"345/P";"www.a-kuku.com";"NIE"
"Żłobek";"Niepubliczny Żłobek ""Aaa Kotki Dwa""";"KUJAWSKO-POMORSKIE > Powiat Włocławek > Włocławek > Włocławek, miasto ul.  Chmielna 24";"www.aaakotkidwa.edu.pl";"biuro@aaakotkidwa.edu.pl";"575000375";"55";"36";"1100.0 zł";;;;"12.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ";"TAK";"Instytut Rozwoju Osobistego Sp. z o.o.";"ul.  Nowogrodzka 48 lok. 8 00-695 Warszawa - Śródmieście, Warszawa - Śródmieście, dzielnica m. st. Warszawy";"7010558888";"363945860";"19902/P";"www.aaakotkidwa.edu.pl";"NIE"
"Żłobek";"Niepubliczny Żłobek Akademia Malucha";"ŚLĄSKIE > Powiat Siemianowice Śląskie > Siemianowice Śląskie > Siemianowice Śląskie, miasto ul.  Zachodnia 1";"www.zlobeksiemianowice.pl";"biuro@zlobeksiemianowice.pl";"532555541";"90";"40";"1300.0 zł";"50.0 zł";;;"16.0 zł";"Zniżka - Wielodzietność/Karta Dużej Rodziny: 20.0% Zniżka - Samotne wychowanie dziecka: 20.0% Zniżka - Dziecko niepełnosprawne lub wymagające szczególnej opieki: 20.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-18:00 ";"TAK";"Akademia Malucha Paulina Rączkiewicz";;"6412416747";"362126982";"14163/P";"www.zlobekgliwice.com";"NIE"
"Żłobek";"Niepubliczny Żłobek Integracyjny ""Wesołe Krasnoludki""";"MAŁOPOLSKIE > Powiat wielicki > Gdów > Bilczyce, wieś Bilczyce, wieś 285";;"boguslawadar@interia.pl";"602280814";"41";"29";"1000.0 zł";;;;"17.0 zł";"Zniżka - Wielodzietność/Karta Dużej Rodziny: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-18:00 ";"TAK";"Re Bud Firma Usługowa Bogusława Darowska";;"7371420378";"120092696";"7097/P";"http://skrzatek.eu/";"NIE"
"Żłobek";"Żłobek Ciuchcia 2";"LUBUSKIE > Powiat Zielona Góra > Zielona Góra > Zielona Góra, miasto ul.  Nowy Kisielin-Odrzańska 53";;"zlobekciuchcia@gmail.com";"733775503";"25";"14";"1100.0 zł";;;;"13.0 zł";"Zniżka - Zgrana Rodzina: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"Fundacja Innowacyjny Klub Rodzica";"ul. Majora Henryka Sucharskiego 11 lok. 7 65-562 Zielona Góra, Zielona Góra, miasto";"9731016693";"081195489";"2188/P";;"NIE"
"Klub dziecięcy";"Klub dziecięcy A-KuKu";"POMORSKIE > Powiat Gdańsk > Gdańsk > Gdańsk, miasto ul. Bernarda Chrzanowskiego 11 lok. u7";"a-kuku.com";"chrzanowskiego@a-kuku.com";"603800917";"30";"26";"1725.0 zł";"50.0 zł";;;"23.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ";"NIE";"A-KuKu Bis Sp. z o.o.";"ul.  Warszawska 100 lok. U3 80-180 Gdańsk, Gdańsk, miasto";"5833470494";"524412760";"345/P";"www.a-kuku.com";"NIE"
"Żłobek";"Niepubliczny Żłobek A-KuKu";"POMORSKIE > Powiat Gdańsk > Gdańsk > Gdańsk, miasto ul. Bernarda Chrzanowskiego 11 lok. u7";"a-kuku.com";"chrzanowskiego@a-kuku.com";"603800917";"40";"31";"1725.0 zł";"50.0 zł";;;"23.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:30 ";"NIE";"A-KuKu Bis Sp. z o.o.";"ul.  Warszawska 100 lok. U3 80-180 Gdańsk, Gdańsk, miasto";"5833470494";"524412760";"345/P";"www.a-kuku.com";"NIE"
"Żłobek";"Żłobek Domowa Kraina";"KUJAWSKO-POMORSKIE > Powiat Bydgoszcz > Bydgoszcz > Bydgoszcz, miasto ul.  Fordońska 140";"www.domowakraina.bydgoszcz.pl";"beata.czyz@bzdz.pl";"690380644";"40";"0";"1300.0 zł";;;;"17.0 zł";"Zniżka - Wielodzietność/Karta Dużej Rodziny: 10.0% Zniżka - Samotne wychowanie dziecka: 10.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 30.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-17:00 ";"NIE";"Bydgoski Zakład Doskonalenia Zawodowego Stowarzyszenie Oświatowo-Techniczne";"ul.  Fordońska 120 85-739 Bydgoszcz, Bydgoszcz, miasto";"5540313030";"090067280";"17566/P";"www.bzdz.pl";"NIE"
"Żłobek";"Gminny Żłobek w Hamentowie";"ŁÓDZKIE > Powiat zduńskowolski > Szadek > Hamentów, wieś Hamentów, wieś 15";;"urzad@ugimszadek.pl";"607415999";"24";"24";"1061.0 zł";;;;"8.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ";"NIE";"Gmina i Miasto Szadek";"ul.  Warszawska 3 98-240 Szadek, Szadek, miasto";"8291708391";"730934460";"20368/P";;"NIE"
"Żłobek";"Niepubliczny Żłobek nr 1 Muzykolandia";"ŚLĄSKIE > Powiat gliwicki > Knurów > Knurów, miasto ul. Henryka Sienkiewicza 21";"muzykolandia.eu";"muzykolandiazlobek@gmail.com";"793006158";"50";"50";"1620.0 zł";"25.0 zł";;;"18.0 zł";"Zniżka - Wielodzietność/Karta Dużej Rodziny: 5.0% Zniżka - Samotne wychowanie dziecka: 5.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 5.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ";"NIE";"Muzykolandia Spółka Cywilna";"ul. Henryka Sienkiewicza 21 44-190 Knurów, Knurów, miasto";"9691633668";"381306620";"13625/P";"muzykolandia.eu";"NIE"
"Żłobek";"Żłobek Daktyl Joanna Koryś";"MAZOWIECKIE > Powiat Warszawa > Warszawa - Praga-Południe > Warszawa - Praga-Południe, dzielnica m. st. Warszawy ul.  Kwatery Głównej 46C lok. U5";"www.zlobekdaktyl.pl";"zlobekdaktyl@gmail.com";"795185707";"22";"20";"1900.0 zł";;;;"21.0 zł";"Zniżka - Bon Żłobkowy, RKO: 21.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-18:00 ";"NIE";"Żłobek Daktyl Joanna Kosakowska";"ul.  Kwatery Głównej 46C lok. U5 04-294 Warszawa - Praga-Południe, Warszawa - Praga-Południe, dzielnica m. st. Warszawy";"5060120963";"388198582";"20462/P";"www.zlobekdaktyl.pl";"NIE"
"Żłobek";"EDU Żłobek - Żłobek Montessori";"ŚLĄSKIE > Powiat Tychy > Tychy > Tychy, miasto ul.  Armii Krajowej 1";;"sekretariatiqedu@gmail.com";"570011355";"50";"47";"1100.0 zł";;;;"16.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ";"TAK";"IQ EDU NON PROFIT Sp z o.o.";"al.  Niepodległości 32 43-100 Tychy, Tychy, miasto";"6462977933";"383836776";"18350/P";;"NIE"
"Żłobek";"E-Maluch 5";"ŁÓDZKIE > Powiat Łódź > Łódź-Górna > Łódź-Górna, delegatura ul. Gen. Prądzyńskiego 7";"www.emaluch.eu";"emaluch9zlobek@gmail.com";"512026991";"26";"25";"1550.0 zł";"20.0 zł";;;"21.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-18:00 ";"TAK";"E-MALUCH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"ul. Gen. Prądzyńskiego 6 93-478 Łódź-Górna, Łódź-Górna, delegatura";"7292736733";"387804419";"951/P";"www.emaluch.eu";"NIE"
"Klub dziecięcy";"Klub Malucha ""Bystrzaczek 2""";"MAŁOPOLSKIE > Powiat wadowicki > Andrychów > Andrychów, miasto ul.  Słowackiego 4e";"https://przedszkolebystrzak.pl/klub-malucha/";"biuro1@przedszkolebystrzak.pl";"606878185";"29";"18";"1100.0 zł";;;;"14.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:45-16:30 ";"NIE";"Edukacja i Rozrywka Ewa Marczyńska";;"5511448744";"120741479";"12699/P";;"NIE"
"Żłobek";"Żłobek Oddział nr 8 ( Zespół Żłobka i Klubów Dziecięcych siedziba: B.Prusa 253A, Sosnowiec)";"ŚLĄSKIE > Powiat Sosnowiec > Sosnowiec > Sosnowiec, miasto ul.  Skwerowa 21";"www.zlobekmiejski.sosnowiec.pl";"zmsc@sosnowiec.edu.pl";"32 263 61 71";"60";"59";"400.0 zł";"40.0 zł";;;"9.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-17:00 ";"TAK";"Gmina Sosnowiec";"ul.  Aleja Zwycięstwa 20 41-200 Sosnowiec, Sosnowiec, miasto";"6443453672";"276255482";"488/P";"www.sosnowiec.pl";"NIE"
"Żłobek";"NIEPUBLICZNY ŻŁOBEK Sportowo - Językowy FAIR PLAY SANDKASSE";"MAŁOPOLSKIE > Powiat wielicki > Niepołomice > Niepołomice, miasto ul. Generała Włodzimierza Potasińskiego 10";"https://przedszkolefairplay.info.pl/placowka/niepolomice/";"biurofairplayniepolomice@gmail.com";"734426719";"45";"40";"1690.0 zł";;;;"22.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-18:00 ";"NIE";"Sandkasse s.c. Maciej Szczerbowski, Piotr Szopa";"ul. Generała Włodzimierza Potasińskiego 10 32-005 NIEPOŁOMICE, Niepołomice, miasto";"6762589460";"387466460";"20590/P";"https://przedszkolefairplay.info.pl/placowka/niepolomice/";"NIE"
"Żłobek";"Żłobek Osesek II";"MAŁOPOLSKIE > Powiat oświęcimski > Brzeszcze > Jawiszowice, wieś os.  Osiedle Paderewskiego 38";"klubdzieciecyosesek.pl";"klubdzieciecyosesek@gmail.com";"660296702";"30";"26";"1050.0 zł";;;;"15.0 zł";"Zniżka - Dziecko niepełnosprawne lub wymagające szczególnej opieki: 5.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 19.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:00 ";"TAK";"Świat Kobiet Dominika Słatyńska";"os.  Osiedle Paderewskiego 38 32-626 Brzeszcze, Jawiszowice, wieś";"5492157157";"363326230";"20614/P";"www.klubdzieciecyosesek.pl";"NIE"
"Żłobek";"Żłobek nr 6 KOTEK PSOTEK";"PODKARPACKIE > Powiat Rzeszów > Rzeszów > Rzeszów, miasto ul.  Iwonicka 52";"www.mzz.itl.pl";"zlobek6@mzz.resman.pl";"17 748 1142";"204";"201";"551.0 zł";"42.0 zł";;;"9.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 50.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-17:00 ";"NIE";"GMINA MIASTO RZESZÓW";"ul.  Rynek 1 35-064 Rzeszów, Rzeszów, miasto";"8130008613";"690581353";"225/P";"www.erzeszow.pl";"NIE"
"Klub dziecięcy";"Bezpieczny Maluch";"MAZOWIECKIE > Powiat wołomiński > Ząbki > Ząbki, miasto ul. Ignacego Krasickiego 14";;"bezpiecznymaluchzabki@gmail.com";"518859799";"14";"8";"950.0 zł";;;;"19.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:00 ";"NIE";"Biznes Partner Ewelina Mazurek-Janiszewska";;"7622006186";"381241487";"20632/P";;"NIE"
"Żłobek";"Niepubliczny żłobek sportowo-językowy FAIR PLAY";"WIELKOPOLSKIE > Powiat Poznań > Poznań-Stare Miasto > Poznań-Stare Miasto, delegatura ul.  Garbary 104 lok. 3U";"https://przedszkolefairplay.info.pl/";"biuro@fairplay-poznan.pl";"799989090";"40";"31";"1520.0 zł";;;;"21.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 15.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-18:00 ";"NIE";"Fair Play Poznań Spółka Cywilna";"ul.  Garbary 104 lok. U3 61-757 Poznań-Stare Miasto, Poznań-Stare Miasto, delegatura";"7831832149";"388220442";"20678/P";;"NIE"
"Żłobek";"Niepubliczny Żłobek Podwodna Kraina";"POMORSKIE > Powiat Gdańsk > Gdańsk > Gdańsk, miasto ul. Tytusa Chałubińskiego 1";"www.przedszkolepodwodnakraina.pl";"biuro@przedszkolepodwodnakraina.pl";"501301737";"24";"24";"1500.0 zł";;;;"19.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 8.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"NIE";"Niepubliczne Przedszkole Podwodna Kraina Iwona Potapczuk";;"5831773405";"221168317";"20683/P";"www.przedszkolepodwodnakraina.pl";"NIE"
"Żłobek";"ORLE GNIAZDKO Agnieszka Janowska";"ŚLĄSKIE > Powiat częstochowski > Olsztyn > Olsztyn, wieś ul.  Kuhna 3";;"kontakt@orlegniazdko.pl";"606402507";"24";"24";"1420.0 zł";;;;"19.0 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 50.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ";"NIE";"ORLE GNIAZDKO Agnieszka Janowska";;"9492100478";"387989896";"20853/P";;"NIE"
"Żłobek";"Żłobek nr 71";"MAZOWIECKIE > Powiat Warszawa > Warszawa - Włochy > Warszawa - Włochy, dzielnica m. st. Warszawy ul.  Astronautów 5";"www.zlobki.waw.pl";"zlobek71@zlobki.waw.pl";"885524242";"150";"155";"0.0 zł";;;;"13.75 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:30 ";"NIE";"m.st. Warszawa";"pl.  Plac Bankowy 3/5 00-950 Warszawa, Warszawa - Śródmieście, dzielnica m. st. Warszawy";"5252248481";"015259640";"26702/P";"um.warszawa.pl";"NIE"
"Żłobek";"Żłobek Miejski ""Gryfuś"" w Białogardzie ";"ZACHODNIOPOMORSKIE > Powiat białogardzki > Białogard > Białogard, miasto ul. Feliksa Stamma 14";;"dyrektor.zlobek2@bialogard.info; sekretariat.zlobek2@bialogard.info; zlobek2@bialogard.info;";"94 3579 590 ; 94 3579 591";"96";"82";"721.0 zł";"10.0 zł";;;"16.48 zł";"Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% Zniżka - RODZEŃSTWO UCZĘSZCZAJĄCE DO PRZEDSZKOLA: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-16:30 ";"NIE";"Żłobek Miejski ""Gryfuś"" w Białogardzie";"ul. Feliksa Stamma 14 78-200 Białogard, Białogard, miasto";"6722100205";"520543940";"21128/P";;"NIE"
"Żłobek";"Niepubliczny Żłobek ""Trampolina"" w Henrykowie";"ŁÓDZKIE > Powiat zduńskowolski > Zduńska Wola > Henryków, wieś Henryków, wieś 24";;"zlobektrampolina@gmail.com";"503614186";"28";"20";"1400.0 zł";;;;"12.0 zł";;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ";"TAK";"Zgromadzenie Zakonne Małe Dzieło Boskiej Opatrzności - Orioniści Prowincja Polska";"ul. Williama Heerleina Lindleya 12 02-005 WARSZAWA - OCHOTA, Warszawa - Ochota, dzielnica m. st. Warszawy";"5262199910";"040006075";"21388/P";;"NIE"
