Identyfikator instytucji;Typ instytucji;Nazwa;Województwo;Powiat;Gmina;Miejscowość;Ulica;Nr domu;Nr lokalu;Kod pocztowy;Geolokalizacja;Adres WWW żłobka/klubu;E-mail żłobka/klubu;Telefon żłobka/klubu;Liczba miejsc;Liczba dzieci zapisanych;Liczba miejsc ze środków KPO;Liczba miejsc ze środków FERS;Liczba dzieci zapisanych na miejsca z KPO;Liczba dzieci zapisanych na miejsca z FERS;Podstawowa opłata ponoszona przez rodziców za pobyt dziecka (bez zniżek i bez wyżywienia) - opłata miesięczna;Opłata miesięczna na miejscach z KPO/FERS;Stawka za pobyt dziecka przekraczający 10 godzin dziennie - opłata godzinowa;Opłata godzinowa - podstawowa opłata ponoszona przez rodziców za pobyt dziecka (bez zniżek i bez wyżywienia);Opłata za wyżywienie - miesięczna;Opłata za wyżywienie - dzienna;Wydatki na funkcjonowanie – miesięcznie;W tym z programu Dofinansowanie wynagrodzeń;Zniżki;Godziny otwarcia;Czy żłobek/klub jest dostosowany do potrzeb dzieci niepełnosprawnych lub wymagających szczególnej opieki?;Czy podmiot prowadzący zawiesił działalność instytucji opieki?;Podmiot prowadzący - nazwa;Podmiot prowadzący - miejscowość;Podmiot prowadzący - ulica;Podmiot prowadzący - nr domu;Podmiot prowadzący - nr lokalu;Podmiot prowadzący - kod pocztowy;Podmiot prowadzący - NIP;Podmiot prowadzący - REGON;Podmiot prowadzący - numery pozycji rejestru;Adres WWW podmiotu prowadzącego żłobek/klub
"12325/Z";"Żłobek";"Prywatny Żłobek EUREGIO";"LUBUSKIE";"słubicki";"Słubice";"Słubice";"ul. Różana";"3";;"69-100";"14.56184;52.36105";"https://www.facebook.com/zlobek.EUREGIO";"zlobek.euregio@gmail.com";"506347495";"40";"38";"0";"0";"0";"0";1500.0;0.0;;;;16.5;;;"Zniżka - Program ""Aktywnie w żłobku"" : 100.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ";"NIE";"NIE";"Fundacja EUREGIO";"Milicz, miasto";"ul. Adama Mickiewicza";"10A";"1";"56-300";"9161370764";"020792669";"13429/P";
"12326/Z";"Żłobek";"Niepubliczny Żłobek Nr 5 ""Kajtuś Czarodziej""";"MAZOWIECKIE";"wołomiński";"Marki";"Marki, miasto";"ul. Sportowa";"8A";;"05-270";"21.10953;52.32471";;"kajtus-czarodziej@wp.pl";"668663425";"15";"30";;;;;1600.0;0.0;;;;18.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-18:00 ";"NIE";"NIE";"Niepubliczny Żłobek Nr 5 ""Kajtuś Czarodziej"" Anna Lewandowska - Sędek";;;;;;"8762020324";"141093328";"13430/P";
"12327/Z";"Żłobek";"AKADEMIA MALUCHA Żłobek";"WIELKOPOLSKIE";"wrzesiński";"Nekla";"Nekla";"ul. Dworcowa";"33";;"62-330";";";"www.akademia-malucha.net";"biuro@akademiatalentow.net";"888151615";"30";"21";"0";"0";"0";"0";1900.0;0.0;;;;12.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ";"NIE";"NIE";"ANGELIKA KURZAWA";;;;;;"7891618158";;"13383/P";
"12345/Z";"Klub dziecięcy";"Klub Dziecięcy nr 1";"DOLNOŚLĄSKIE";"lwówecki";"Lwówek Śląski";"Lwówek Śląski, miasto";"al. Wojska Polskiego";"21";;"59-600";"15.5852245;51.1086492";"www.przedszkola-lwowekslaski.pl";"przedszkole.nr1@poczta.onet.pl";"756477724";"19";"19";;;;;500.0;0.0;20.0;;;10.0;1000.0;1000.0;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ";"NIE";"NIE";"Gmina i Miasto Lwówek Śląski";"Lwówek Śląski, miasto";"al. Wojska Polskiego";"25A";;"59-600";"6161003030";"230821670";"13428/P";"www.lwowekslaski.pl"
"12347/Z";"Żłobek";"Żłobek Miejski Oddział Maluch ";"ZACHODNIOPOMORSKIE";"Koszalin";"Koszalin";"Koszalin";"ul. Mieczysława Jagoszewskiego";"6";;"75-452";"16.1923623844378;54.20278245";"www.zlobekmiejski.pl";"maluch@zlobekmiejski.pl";"943425755";"94";"90";"0";"0";"0";"0";1500.0;0.0;;;;10.0;;;"Zniżka - Dziecko niepełnosprawne lub wymagające szczególnej opieki: 50.0% Zniżka - Dochód rodzinny: 30.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 50.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ";"NIE";"NIE";"Gmina Miasto Koszalin";"Koszalin, miasto";"ul.  Morska";"43";;"75-215";"6692385366";"330920802";"154/P";"www.koszalin.pl"
"12348/Z";"Żłobek";"ŻŁobek Miejski Skrzat ";"ZACHODNIOPOMORSKIE";"Koszalin";"Koszalin";"Koszalin";"ul. Joachima Lelewela";"12";;"75-452";"16.2000139330113;54.2097885";"www.zlobekmiejski.pl";"skrzat@zlobekmiejski.pl";"943436767";"115";"110";"0";"0";"0";"0";1500.0;0.0;;;;10.0;;;"Zniżka - Dziecko niepełnosprawne lub wymagające szczególnej opieki: 50.0% Zniżka - Dochód rodzinny: 30.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 50.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ";"NIE";"NIE";"Gmina Miasto Koszalin";"Koszalin, miasto";"ul.  Morska";"43";;"75-215";"6692385366";"330920802";"154/P";"www.koszalin.pl"
"12349/Z";"Żłobek";"Żłobek Niepubliczny ""Kraina Marzeń""";"OPOLSKIE";"Opole";"Opole";"Opole, miasto";"ul. Chabrów";"50a";;"45-222";"17.938219;50.683244";"www.krainamarzen.pl";"chabry@krainamarzen.pl";"730221258";"95";"36";;;;;2150.0;0.0;35.0;;;15.0;;;"Zniżka - Opolska Karta Rodziny i Seniora - obowiązuje na 2 dziecko pod warunkiem uczęszczania obojga z nich: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"NIE";"""Kraina Marzeń"" Grzegorz Tarka";;;;;;"7542831103";"160341464";"308/P";"https://krainamarzen.pl/"
"12350/Z";"Żłobek";"Żłobek Miejski Oddział Jacek i Agatka ";"ZACHODNIOPOMORSKIE";"Koszalin";"Koszalin";"Koszalin";"ul. Konstytucji 3 Maja";"29";;"75-823";"16.178607891686;54.1848782";"www.zlobekmiejski.pl";"jacekiagatka@zlobekmiejski.pl";"943425755";"104";"100";"0";"0";"0";"0";1500.0;0.0;;;;10.0;;;"Zniżka - Dziecko niepełnosprawne lub wymagające szczególnej opieki: 50.0% Zniżka - Dochód rodzinny: 30.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 50.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ";"NIE";"NIE";"Gmina Miasto Koszalin";"Koszalin, miasto";"ul.  Morska";"43";;"75-215";"6692385366";"330920802";"154/P";"www.koszalin.pl"
"12351/Z";"Żłobek";"Żłobek Miejski Oddział Puchatek ";"ZACHODNIOPOMORSKIE";"Koszalin";"Koszalin";"Koszalin";"ul. Dokerów";"6a";;"75-202";"16.1627801;54.2030261";"www.zlonekmiejski.pl";"puchatek@zlobekmiejski.pl";"943426640";"50";"50";"0";"0";"0";"0";1500.0;0.0;;;;10.0;;;"Zniżka - Dziecko niepełnosprawne lub wymagające szczególnej opieki: 50.0% Zniżka - Dochód rodzinny: 30.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 50.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ";"NIE";"NIE";"Gmina Miasto Koszalin";"Koszalin, miasto";"ul.  Morska";"43";;"75-215";"6692385366";"330920802";"154/P";"www.koszalin.pl"
"12353/Z";"Żłobek";"Niepubliczny Żłobek Maluszkowo";"POMORSKIE";"wejherowski";"Rumia";"Rumia, miasto";"ul. Żołnierzy I Dywizji Wojska Polskiego";"39A";;"84-230";"18.40061609629236;54.5866519";"www.maluszkowo.eu";"sekretariat@maluszkowo.eu";"501335946";"32";"32";;;;;1750.0;0.0;;;;17.0;;;"Zniżka - Rodzeństwo uczęszczające do instytucji: 14.0% Zniżka - zniżka pracownicza: 14.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"NIE";"NIE";"Maluszkowo Magdalena Wietek";"Rumia, miasto";"ul. Żołnierzy I Dywizji Wojska Polskiego";"39A";;"84-230";"5862026112";"192502238";"12058/P";"www.maluszkowo.eu"
"12355/Z";"Żłobek";"Niepubliczny Żłobek ""Hajduczek"" w Chorzowie";"ŚLĄSKIE";"Chorzów";"Chorzów";"Chorzów";"ul. Gabriela Narutowicza";"5";;"41-503";"18.9725715733041;50.3119518";"www.centrumhajduczek.pl";"centrum.hajduczek@gmail.com";"537431053";"60";"32";"0";"0";"0";"0";1800.0;0.0;40.0;;250.0;;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ";"TAK";"NIE";"Centrum Opieki i Rozwoju ""Hajduczek"" Sp. z o.o.";"Chorzów, miasto";"ul. Bolesława Prusa";"7 ";;"41-506";"6272727096";"242587868";"549/P";"centrumhajduczek.pl"
"12356/Z";"Żłobek";"Niepubliczny Żłobek Junior";"ZACHODNIOPOMORSKIE";"stargardzki";"Stargard";"Stargard, miasto";"ul. Pogodna";"10-12";;"73-110";"15.0160347;53.3331847";;"junior.stargard@gmail.com";"663424117";"16";"16";;;;;1850.0;0.0;;;;15.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ";"TAK";"NIE";"Centrum Edukacyjno-Opiekuńcze JUNIOR Anna Jakubowska";"Stargard, miasto";"ul. Pogodna";"10-12";;"73-110";"8542298170";"320884149";"13405/P";
"12369/Z";"Żłobek";"Żłobek Miejski Oddział Smyk";"ZACHODNIOPOMORSKIE";"Koszalin";"Koszalin";"Koszalin";"ul. Ignacego Chrzanowskiego";"10";;"75-327";"16.189040006312;54.21121685";"www.zlobekmiejski.pl";"smyk@zlobekmiejski.pl";"943413749";"41";"40";"0";"0";"0";"0";1500.0;0.0;;;;10.0;;;"Zniżka - Dziecko niepełnosprawne lub wymagające szczególnej opieki: 50.0% Zniżka - Dochód rodzinny: 30.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 50.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ";"NIE";"NIE";"Gmina Miasto Koszalin";"Koszalin, miasto";"ul.  Morska";"43";;"75-215";"6692385366";"330920802";"154/P";"www.koszalin.pl"
"12370/Z";"Żłobek";"Żłobek ""Kraina Marzeń""";"MAŁOPOLSKIE";"Nowy Sącz";"Nowy Sącz";"Nowy Sącz, miasto";"ul.  Radziecka";"18";;"33-300";"20.6890491;49.6075768";"www.krainamarzen.eu";"marcin.krolikiewicz@krainamarzen.eu";"694424336";"24";"16";"0";"0";"0";"0";1500.0;0.0;;;;12.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"NIE";"NIE";"Marcin Królikiewicz";;;;;;"7342629058";"491941423";"1707/P";
"12374/Z";"Żłobek";"Niepubliczny Żłobek CALINECZKA";"POMORSKIE";"nowodworski";"Nowy Dwór Gdański";"Nowy Dwór Gdański, miasto";"ul. gen. Tadeusza Kościuszki";"25";;"82-100";"19.1218201;54.2157393";"www.edukacjajutra.eu";"dyrektor@edukacjajutra.eu";"535555090";"56";"41";;;;;1800.0;0.0;;;;15.0;;;"Zniżka - Dziecko niepełnosprawne lub wymagające szczególnej opieki: 30.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"TAK";"NIE";"Calineczka Magdalena Stępniewska, Magdalena Rutkowska - Dolna Spółka Cywilna";"Gdańsk, miasto";"ul. Marsa";"19";"1";"80-299";"5842733036";"221966177";"7207/P";"www.edukacjajutra.eu"
"12375/Z";"Żłobek";"Żłobek Przy Przedszkolu Niepublicznym ""Motylek""";"ZACHODNIOPOMORSKIE";"Świnoujście";"Świnoujście";"Świnoujście, miasto";"ul. Juliusza Słowackiego";"27";"2";"72-600";"14.2469280944524;53.9186799";"www.przedszkolemotylek.pl";"kontakt@przedszkolemotylek.pl";"798898902";"24";"24";"0";"0";"0";"0";1600.0;0.0;;;400.0;;;;"Zniżka - Wielodzietność/Karta Dużej Rodziny: 10.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ";"NIE";"NIE";"Centrum Rozwoju Dziecka Spółka Cywilna Urszula Kraska, Ewa Kraska";"Świnoujście, miasto";"ul. Juliusza Słowackiego";"27";"8";"72-600";"8551583013";"321353477";"13434/P";"www.przedszkolemotylek.pl"
"12376/Z";"Żłobek";"Żłobek ""U Babci"" Marzenna Molińska";"DOLNOŚLĄSKIE";"wołowski";"Wołów";"Wołów, miasto";"ul. Marszałka Józefa Piłsudskiego";"1-3";;"56-100";"16.6383576;51.3369712";;"zlobekubabci@gmail.com";"881732511";"32";"50";"0";"0";"0";"0";2100.0;0.0;;;480.0;;;;"Zniżka - Dofinansowanie z Gminy Wołów tylko w miesiącu październik ,od października program ZUS "" Aktywnie w żłobku"": 100.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:00-17:00 ";"TAK";"NIE";"Żłobek ""U Babci"" Marzenna Molińska";;;;;;"9241002100";"931974023";"13454/P";
"12378/Z";"Żłobek";"Żłobek SERDUSZKOlandia Luiza Sałaj";"DOLNOŚLĄSKIE";"lubiński";"Lubin";"Lubin, miasto";"ul. Stefana Kisielewskiego";"25-26";;"59-300";"16.1743533;51.4021066";"www.serduszkolandia.pl";"kontakt@serduszkolandia.pl";"794666880";"60";"60";;;;;1500.0;0.0;;;;16.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ";"TAK";"NIE";"Żłobek SERDUSZKOlandia Luiza Sałaj";"Lubin, miasto";"ul. Stefana Kisielewskiego";"25-26";;"59-300";"6922131498";"022527820";"2170/P";"www.serduszkolandia.pl"
"12379/Z";"Żłobek";"Miasteczko Dzieci";"DOLNOŚLĄSKIE";"zgorzelecki";"Zgorzelec";"Zgorzelec, miasto";"ul. Wolności";"10";;"59-900";"15.0025064;51.1491699";;"miasteczkodzieci22@gmail.com";"697730505";"43";"30";;;;;1000.0;0.0;;;;17.5;;;"Zniżka - Rodzeństwo uczęszczające do instytucji: 6.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"TAK";"NIE";"Aleksandra Solecka";;;;;;"6151798140";"231204235";"13476/P";
"12380/Z";"Żłobek";"Chatka Puchatka";"DOLNOŚLĄSKIE";"zgorzelecki";"Zgorzelec";"Zgorzelec, miasto";"ul. Francuska";"41";;"59-900";"15.0056766;51.1336661";"www.chatkapuchatka.zgorzelec.pl";"aga35@op.pl";"512313599";"60";"60";"0";"0";"0";"0";1500.0;0.0;;;;18.5;;;"Zniżka - z tytułu wyżywienia dla drugiego dziecka uczęszczającego do placówki: 100.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"TAK";"NIE";"Chatka Puchatka -Firma Wielobranżowa Agnieszka Smolarska";;;;;;"6151536782";"021279603";"13457/P";"www.chatkapuchatka.zgorzelec.pl"
"12381/Z";"Klub dziecięcy";"Klub Dziecięcy ""Antolinka""";"MAZOWIECKIE";"wołomiński";"Ząbki";"Ząbki";"ul. Powstańców";"26";"15";"05-110";"21.1253811;52.2790685";"www.antolinka.pl";"antolinka@antolinka.pl";"509358503";"7";"7";"0";"0";"0";"0";1500.0;0.0;;;;16.5;;;"Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:30 ";"NIE";"NIE";"Olga Świerczyńska - Bogusiewicz";;;;;;"5242277452";"141063729";"1499/P";"www.antolinka.pl"
"12382/Z";"Klub dziecięcy";"Klub Dziecięcy Wyspa Skarbów";"DOLNOŚLĄSKIE";"zgorzelecki";"Zgorzelec";"Zgorzelec, miasto";"ul. Juliusza Słowackiego";"9c";;"59-900";"15.0117546;51.137676";;"wyspa.skarbow.chafieha@gmail.com";"509280480";"11";"9";;;;;980.0;0.0;;;;17.5;;;"Zniżka - z tytułu wyżywienia dla drugiego dziecka uczęszczającego do placówki: 75.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:45-16:15 ";"TAK";"NIE";"Violetta Chafieha";"Zgorzelec, miasto";"ul. Juliusza Słowackiego";"9c";;"59-900";"6151057030";"231088622";"13460/P";
"12387/Z";"Żłobek";"""Lawendowy Domek""";"DOLNOŚLĄSKIE";"oławski";"Oława";"Marcinkowice";"ul. Krucza";"1";;"55-200";"17.2178080759167;50.98892065";;"kontakt@lawendowydomek.edu.pl";"725002372";"26";"26";"0";"0";"0";"0";1900.0;0.0;;;;16.5;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-16:30 ";"TAK";"NIE";"Centrum Wczesnego Wspomagania Rozwoju Dziecka Joanna Wasilewska-Kogut, Joanna Kuś s.c.";"Marcinkowice, wieś";"ul. Krucza";"1";;"55-200";"9121920230";"369500461";"13481/P";
"12388/Z";"Żłobek";"Żłobek Gminny w Żninie";"KUJAWSKO-POMORSKIE";"żniński";"Żnin";"Żnin, miasto";"ul. Jasna";"5";;"88-400";"17.74436;52.8486";"www.zlobek.gminaznin.pl";"zlobek@gminaznin.pl";"523575500";"28";"28";;;;;1500.0;0.0;30.0;;;10.0;2530.05;1000.0;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ";"NIE";"NIE";"Gmina Żnin";"Żnin, miasto";"ul. 700-lecia";"39";;"88-400";"5621790969";"092351222";"13479/P";"gminaznin.pl"
"12397/Z";"Żłobek";"Publiczny Żłobek w Wadowicach Górnych ";"PODKARPACKIE";"mielecki";"Wadowice Górne";"Wadowice Górne, wieś";;"133e";;"39-308";"21.285288131232;50.2617695";;"zlobek@wadowicegorne.pl";"146665707";"39";"38";;;;;1500.0;0.0;15.0;;;7.6;1985.71;257.69;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-17:00 ";"NIE";"NIE";"Gmina Wadowice Górne";"Wadowice Górne, wieś";;"116";;"39-308";"8172175250";"851661234";"13456/P";
"12399/Z";"Klub dziecięcy";"KLUB DZIECIĘCY ""MALI ODKRYWCY"" ALEKSANDRA KUBIAK";"WIELKOPOLSKIE";"czarnkowsko-trzcianecki";"Drawsko";"Drawski Młyn, wieś";"ul.  Osiedle Robotnicze";"20A";"2";"64-733";"16.0858333;52.8597222";"www.dzieciecyklub.pl";"OLADYMEK10@wp.pl";"516343245";"11";"7";"0";"0";"0";"0";1250.0;0.0;;;250.0;;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"NIE";"NIE";"KLUB DZIECIĘCY ""MALI ODKRYWCY"" ALEKSANDRA KUBIAK";"Drawski Młyn, wieś";"ul.  Osiedle Robotnicze";"20A";"2";"64-733";"7632082987";"300899132";"13458/P";"www.dzieciecyklub.pl"
"12400/Z";"Żłobek";"Żłobek Miejski";"DOLNOŚLĄSKIE";"zgorzelecki";"Zgorzelec";"Zgorzelec, miasto";"ul. Stanisława Wyspiańskiego";"9a";;"59-900";"15.0050102;51.1569715";;"zlobek@zgorzelec.eu";"757756480";"50";"44";;;;;1500.0;0.0;22.0;;;8.0;2628.98;1139.49;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-16:30 ";"NIE";"NIE";"Gmina Miejska Zgorzelec";"Zgorzelec, miasto";"ul. Bolesława Domańskiego";"7";;"59-900";"6151794018";"230821546";"13453/P";"www.zgorzelec.eu"
"12402/Z";"Żłobek";"Żłobek Niepubliczny Nr 1 S.C. O/Zabrze";"ŚLĄSKIE";"Zabrze";"Zabrze";"Zabrze, miasto";"ul. Wolności";"121 C";;"41-800";"18.756363539306413;50.305435763514396";;"zlobekzabrze@wp.pl";"577882286";"40";"40";;;;;2150.0;0.0;;;;16.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:00-16:00 ";"NIE";"NIE";"ŻŁOBEK NIEPUBLICZNY NR 1 S.C.";"Gliwice, miasto";"ul. Centaura";"4";;"44-117";"9691592314";"241926430";"502/P";
"12403/Z";"Żłobek";"ZAKĄTEK MALUCHA ANNA STANKIEWICZ";"DOLNOŚLĄSKIE";"średzki";"Miękinia";"Lutynia, wieś";"ul.  Kościelna";"2";;"55-330";"16.787330314662405;51.1348351";"ZAKATEKMALUCHA.PL";"ZAKATEK.MALUCHA.LUTYNIA@GMAIL.COM";"691998707";"25";"14";"0";"0";"0";"0";1300.0;0.0;;;;22.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:30 ";"NIE";"NIE";"ZAKĄTEK MALUCHA ANNA STANKIEWICZ";"Lutynia, wieś";"ul.  Kościelna";"2";;"55-330";"9131147889";"380433776";"13478/P";"ZAKATEKMALUCHA.PL"
"12404/Z";"Żłobek";"Żłobek TWP Poziomka";"WARMIŃSKO-MAZURSKIE";"Olsztyn";"Olsztyn";"Olsztyn";"ul. Walentego Barczewskiego";"11";;"10-061";"20.4752492280991;53.7697356";"twp.olsztyn.pl";"twp@twp.olsztyn.pl";"895279333";"67";"33";"0";"0";"0";"0";1500.0;0.0;;;;18.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-17:00 ";"TAK";"NIE";"Towarzystwo Wiedzy Powszechnej Oddział Regionalny";"Olsztyn, miasto";"ul. Walentego Barczewskiego";"11";;"10-089";"7393602738";"012575346";"13483/P";"twp.olsztyn.pl"
"12409/Z";"Żłobek";"Niepubliczny Żłobek FUN & PLAY";"ŁÓDZKIE";"zduńskowolski";"Zduńska Wola";"Zduńska Wola";"ul. Stanisława Moniuszki";"1 B,C,D";;"98-220";"18.9639519;51.6019021";;"funandplaysieradz@gmail.com";"515564715";"15";"0";"0";"0";"0";"0";450.0;0.0;;;;10.0;;;"Zniżka - Wielodzietność/Karta Dużej Rodziny: 15.0% Zniżka - Samotne wychowanie dziecka: 15.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:30-18:00 ";"TAK";"TAK";"Marcin Florek";;;;;;"8272184716";"101265967";"13486/P";
"12410/Z";"Żłobek";"Kucykowa Kraina";"LUBELSKIE";"lubelski";"Głusk";"Kalinówka, kolonia";;"1a";;"21-040";"22.637246830019514;51.21349835";"kucykowakraina.pl";"biuro@kucykowakraina.pl";"509646361";"48";"48";;;;;2300.0;0.0;;;;17.0;;;"Zniżka - Wielodzietność/Karta Dużej Rodziny: 2.0% Zniżka - Dziecko niepełnosprawne lub wymagające szczególnej opieki: 100.0% Zniżka - Rodzeństwo uczęszczające do instytucji: 2.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"TAK";"NIE";"Kucykowa Kraina Ewa Bednarczyk";;;;;;"7122846055";"061595879";"13480/P";"www.kucykowakraina.pl"
"12412/Z";"Klub dziecięcy";"Klub Dziecięcy w Żarkach";"ŚLĄSKIE";"myszkowski";"Żarki";"Żarki, miasto";"ul. Ofiar Katynia";"3";;"42-310";"19.3661242780229;50.6243187";;"klubdzieciecyzarki@wp.pl";"508347027";"24";"24";;;;;1500.0;0.0;50.0;;;12.0;1800.0;240.0;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:30 ";"TAK";"NIE";"Gmina Żarki";"Żarki, miasto";"ul. Tadeusza Kościuszki";"15";"17";"42-310";"5771964543";"151398534";"13487/P";"umigzarki.pl"
"12417/Z";"Żłobek";"Niepubliczny Żłobek im. Jana Pawła II";"ŚLĄSKIE";"pszczyński";"Suszec";"Suszec, wieś";"ul. Pawła Godźka";"12A";;"43-267";"18.7861252;50.0293236";;"barbarablazyca@gmail.com";"666074948";"21";"15";;;;;1900.0;0.0;;;;16.0;;;"Zniżka - Rodzeństwo uczęszczające do instytucji: 10.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-16:00 ";"NIE";"NIE";"Barbara Błażyca Niepubliczny Punkt Przedszkolny im. Jana Pawła II";;;;;;"6511399762";"240479241";"13522/P";
"12418/Z";"Żłobek";"LA LO LI Żłobek Niepubliczny";"WIELKOPOLSKIE";"poznański";"Tarnowo Podgórne";"Wysogotowo, wieś";"ul. Urocza";"11";;"62-081";"16.782016740420094;52.40568934447316";"www.laloli.pl";"stasik1@op.pl";"500166116";"30";"11";;;;;1800.0;0.0;;;;0.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 07:00-17:00 ";"NIE";"NIE";"""LA LO LI"" Jakub Stasikowski";;;;;;"9720947471";"639729232";"13524/P";"www.laloli.pl"
"12420/Z";"Żłobek";"Dwujęzyczny Żłobek KIDS&Co.";"DOLNOŚLĄSKIE";"Wrocław";"Wrocław-Fabryczna";"Wrocław-Fabryczna, delegatura";"ul.  Szybowcowa";"2";;"54-130";"16.9735601426471;51.1404796";"www.kids-co.pl";"ewa.dec-pomykala@kids-co.pl";"537888310";"50";"25";"0";"0";"0";"0";999.0;0.0;;;300.0;;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 6:45-17:30 ";"NIE";"NIE";"Centrum Rozwoju Dziecka Sp. z o.o.";"Warszawa - Wola, dzielnica m. st. Warszawy";"ul. Chłodna";"51";;"00-867";"5252515491";"142984383";"499/P";"www.kids-co.pl"
"12421/Z";"Żłobek";"Smerfowa Kraina Natalia Wolińska";"WIELKOPOLSKIE";"turecki";"Tuliszków";"Tuliszków, miasto";"ul. Kasztelana Zaremby";"16";;"62-740";"18.2982367102804;52.0811303";;"pedagogika99@o2.pl";"663751131";"25";"20";;;;;1800.0;0.0;;;;21.0;;;"Zniżka - Rodzeństwo uczęszczające do instytucji: 20.0% ";"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 06:30-17:00 ";"NIE";"NIE";"Smerfowa Kraina Natalia Wolińska";"Tuliszków, miasto";"ul. Kasztelana Zaremby";"16";;"62-740";"6681962328";"369493531";"13503/P";
"12429/Z";"Żłobek";"Żłobek MiniPozytywka";"MAZOWIECKIE";"żyrardowski";"Żyrardów";"Żyrardów";"ul. 1 Maja";"85";;"96-300";"20.4265;52.06544";"http://przedszkole-pozytywka.edu.pl/zlobek/o-nas/";"zlobek@przedszkole-pozytywka.edu.pl";"570094954";"29";"29";"0";"0";"0";"0";2050.0;0.0;50.0;;;19.0;;;;"Godziny pracy: Poniedziałek, Wtorek, Środa, Czwartek, Piątek 7:00-17:30 ";"TAK";"NIE";"Przedszkole Niepubliczne POZYTYWKA Sp. z o.o.";"Żyrardów, miasto";"ul. 1 Maja";"87";;"96-300";"8381846576";"147165490";"2931/P";
